Kategoria: Wszystko

Miesiąc,Outisme: (Cały świat)
2004-01,0
2004-02,0
2004-03,98
2004-04,75
2004-05,0
2004-06,0
2004-07,0
2004-08,52
2004-09,100
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,44
2005-07,0
2005-08,60
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,28
2006-04,0
2006-05,0
2006-06,68
2006-07,45
2006-08,52
2006-09,0
2006-10,0
2006-11,0
2006-12,60
2007-01,0
2007-02,32
2007-03,0
2007-04,25
2007-05,17
2007-06,0
2007-07,0
2007-08,24
2007-09,0
2007-10,0
2007-11,0
2007-12,69
2008-01,0
2008-02,0
2008-03,33
2008-04,24
2008-05,23
2008-06,13
2008-07,9
2008-08,0
2008-09,9
2008-10,8
2008-11,0
2008-12,0
2009-01,9
2009-02,13
2009-03,15
2009-04,24
2009-05,16
2009-06,14
2009-07,24
2009-08,0
2009-09,11
2009-10,26
2009-11,20
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,12
2010-05,8
2010-06,8
2010-07,16
2010-08,12
2010-09,8
2010-10,0
2010-11,8
2010-12,0
2011-01,8
2011-02,0
2011-03,19
2011-04,16
2011-05,11
2011-06,11
2011-07,0
2011-08,4
2011-09,9
2011-10,4
2011-11,0
2011-12,0
2012-01,6
2012-02,18
2012-03,0
2012-04,23
2012-05,5
2012-06,10
2012-07,9
2012-08,10
2012-09,7
2012-10,0
2012-11,0
2012-12,3
2013-01,13
2013-02,10
2013-03,3
2013-04,12
2013-05,9
2013-06,11
2013-07,5
2013-08,9
2013-09,15
2013-10,9
2013-11,6
2013-12,9
2014-01,9
2014-02,7
2014-03,5
2014-04,11
2014-05,5
2014-06,5
2014-07,8
2014-08,8
2014-09,6
2014-10,9
2014-11,8
2014-12,3
2015-01,17
2015-02,10
2015-03,12
2015-04,11
2015-05,8
2015-06,10
2015-07,8
2015-08,10
2015-09,24
2015-10,10
2015-11,5
2015-12,5
2016-01,15
2016-02,8
2016-03,7
2016-04,22
2016-05,7
2016-06,10
2016-07,7
2016-08,9
2016-09,15
2016-10,11
2016-11,3
2016-12,12
2017-01,0
2017-02,10
2017-03,7
2017-04,11
2017-05,5
2017-06,3
2017-07,8
2017-08,15
2017-09,11
2017-10,11
2017-11,7
2017-12,9
2018-01,4
2018-02,15
2018-03,7
2018-04,13
2018-05,5
2018-06,10
2018-07,6
2018-08,6
2018-09,9
2018-10,2
2018-11,4
2018-12,7
2019-01,5
2019-02,7
2019-03,9
2019-04,16
2019-05,5
2019-06,4
2019-07,8
2019-08,7
2019-09,7
2019-10,6
2019-11,8
2019-12,5
2020-01,9
2020-02,0
2020-03,9
2020-04,7
2020-05,5
2020-06,2
2020-07,8
2020-08,0
2020-09,0
2020-10,3
2020-11,11
2020-12,5
2021-01,4
2021-02,5
2021-03,8
2021-04,7
2021-05,12
2021-06,5
2021-07,2
2021-08,9
2021-09,6
2021-10,8
2021-11,6
2021-12,7
2022-01,5
2022-02,7
2022-03,11
2022-04,7
2022-05,8
2022-06,6
2022-07,5
2022-08,22
2022-09,10
2022-10,4
2022-11,5
2022-12,3
2023-01,7
2023-02,6
2023-03,9
2023-04,3
2023-05,8
2023-06,8
2023-07,0
2023-08,17
2023-09,7
2023-10,13
