Kategoria: Wszystko

Miesiąc,طيف التوحد: (Cały świat)
2004-01,0
2004-02,0
2004-03,100
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,21
2005-09,0
2005-10,0
2005-11,14
2005-12,0
2006-01,17
2006-02,0
2006-03,11
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,17
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,20
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,4
2008-05,9
2008-06,0
2008-07,0
2008-08,0
2008-09,4
2008-10,5
2008-11,9
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,8
2009-07,7
2009-08,6
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,5
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,3
2010-12,4
2011-01,7
2011-02,10
2011-03,6
2011-04,3
2011-05,6
2011-06,2
2011-07,5
2011-08,5
2011-09,4
2011-10,4
2011-11,12
2011-12,6
2012-01,5
2012-02,0
2012-03,2
2012-04,4
2012-05,3
2012-06,8
2012-07,5
2012-08,4
2012-09,9
2012-10,9
2012-11,8
2012-12,6
2013-01,2
2013-02,7
2013-03,9
2013-04,9
2013-05,14
2013-06,5
2013-07,6
2013-08,9
2013-09,11
2013-10,12
2013-11,14
2013-12,12
2014-01,10
2014-02,13
2014-03,12
2014-04,17
2014-05,12
2014-06,4
2014-07,7
2014-08,8
2014-09,16
2014-10,13
2014-11,15
2014-12,17
2015-01,10
2015-02,14
2015-03,15
2015-04,16
2015-05,12
2015-06,7
2015-07,14
2015-08,11
2015-09,17
2015-10,18
2015-11,15
2015-12,11
2016-01,13
2016-02,16
2016-03,18
2016-04,20
2016-05,21
2016-06,13
2016-07,17
2016-08,15
2016-09,18
2016-10,24
2016-11,18
2016-12,16
2017-01,17
2017-02,23
2017-03,20
2017-04,20
2017-05,16
2017-06,10
2017-07,20
2017-08,17
2017-09,20
2017-10,24
2017-11,21
2017-12,17
2018-01,17
2018-02,18
2018-03,24
2018-04,20
2018-05,15
2018-06,18
2018-07,19
2018-08,13
2018-09,28
2018-10,26
2018-11,21
2018-12,23
2019-01,18
2019-02,20
2019-03,23
2019-04,26
2019-05,19
2019-06,22
2019-07,22
2019-08,21
2019-09,27
2019-10,25
2019-11,29
2019-12,25
2020-01,24
2020-02,25
2020-03,19
2020-04,17
2020-05,21
2020-06,28
2020-07,21
2020-08,24
2020-09,30
2020-10,26
2020-11,29
2020-12,27
2021-01,30
2021-02,32
2021-03,33
2021-04,33
2021-05,34
2021-06,31
2021-07,23
2021-08,31
2021-09,45
2021-10,47
2021-11,46
2021-12,42
2022-01,46
2022-02,43
2022-03,47
2022-04,47
2022-05,49
2022-06,49
2022-07,57
2022-08,56
2022-09,69
2022-10,60
2022-11,58
2022-12,64
2023-01,46
2023-02,50
2023-03,52
2023-04,52
2023-05,61
2023-06,53
2023-07,48
2023-08,49
2023-09,54
2023-10,50
