Kategoria: Wszystko

Miesiąc,自閉症: (Cały świat)
2004-01,38
2004-02,43
2004-03,72
2004-04,100
2004-05,96
2004-06,86
2004-07,69
2004-08,50
2004-09,56
2004-10,48
2004-11,52
2004-12,42
2005-01,55
2005-02,49
2005-03,35
2005-04,48
2005-05,51
2005-06,57
2005-07,46
2005-08,41
2005-09,40
2005-10,38
2005-11,41
2005-12,35
2006-01,28
2006-02,27
2006-03,35
2006-04,36
2006-05,37
2006-06,41
2006-07,45
2006-08,43
2006-09,43
2006-10,51
2006-11,34
2006-12,35
2007-01,29
2007-02,27
2007-03,28
2007-04,30
2007-05,30
2007-06,36
2007-07,34
2007-08,27
2007-09,29
2007-10,30
2007-11,28
2007-12,27
2008-01,24
2008-02,30
2008-03,25
2008-04,27
2008-05,28
2008-06,28
2008-07,29
2008-08,25
2008-09,25
2008-10,23
2008-11,26
2008-12,22
2009-01,21
2009-02,22
2009-03,19
2009-04,26
2009-05,25
2009-06,25
2009-07,25
2009-08,21
2009-09,21
2009-10,21
2009-11,21
2009-12,19
2010-01,24
2010-02,19
2010-03,40
2010-04,33
2010-05,30
2010-06,28
2010-07,25
2010-08,24
2010-09,22
2010-10,23
2010-11,22
2010-12,23
2011-01,22
2011-02,20
2011-03,21
2011-04,23
2011-05,25
2011-06,26
2011-07,23
2011-08,26
2011-09,23
2011-10,23
2011-11,24
2011-12,24
2012-01,23
2012-02,23
2012-03,24
2012-04,29
2012-05,40
2012-06,34
2012-07,32
2012-08,30
2012-09,33
2012-10,31
2012-11,31
2012-12,31
2013-01,30
2013-02,36
2013-03,38
2013-04,37
2013-05,42
2013-06,39
2013-07,42
2013-08,37
2013-09,40
2013-10,36
2013-11,34
2013-12,35
2014-01,35
2014-02,33
2014-03,34
2014-04,40
2014-05,41
2014-06,39
2014-07,39
2014-08,41
2014-09,40
2014-10,37
2014-11,37
2014-12,36
2015-01,32
2015-02,34
2015-03,34
2015-04,41
2015-05,51
2015-06,47
2015-07,52
2015-08,39
2015-09,37
2015-10,40
2015-11,38
2015-12,40
2016-01,36
2016-02,38
2016-03,41
2016-04,43
2016-05,43
2016-06,44
2016-07,41
2016-08,33
2016-09,38
2016-10,36
2016-11,33
2016-12,38
2017-01,36
2017-02,46
2017-03,43
2017-04,48
2017-05,47
2017-06,48
2017-07,45
2017-08,39
2017-09,38
2017-10,39
2017-11,37
2017-12,37
2018-01,32
2018-02,34
2018-03,38
2018-04,47
2018-05,46
2018-06,49
2018-07,58
2018-08,51
2018-09,46
2018-10,42
2018-11,49
2018-12,45
2019-01,50
2019-02,42
2019-03,48
2019-04,50
2019-05,46
2019-06,55
2019-07,61
2019-08,51
2019-09,52
2019-10,49
2019-11,48
2019-12,49
2020-01,51
2020-02,39
2020-03,36
2020-04,37
2020-05,45
2020-06,53
2020-07,53
2020-08,49
2020-09,50
2020-10,48
2020-11,46
2020-12,42
2021-01,48
2021-02,49
2021-03,49
2021-04,54
2021-05,54
2021-06,55
2021-07,55
2021-08,53
2021-09,57
2021-10,56
2021-11,60
2021-12,49
2022-01,44
2022-02,46
2022-03,51
2022-04,56
2022-05,56
2022-06,57
2022-07,64
2022-08,64
2022-09,59
2022-10,54
2022-11,52
2022-12,48
2023-01,50
2023-02,59
2023-03,51
2023-04,55
2023-05,59
2023-06,59
2023-07,54
2023-08,52
2023-09,50
2023-10,51
