Kategoria: Wszystko

Miesiąc,Poruchy autistického spektra: (Cały świat)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,100
2004-09,0
2004-10,0
2004-11,40
2004-12,57
2005-01,0
2005-02,0
2005-03,0
2005-04,32
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,25
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,27
2006-11,0
2006-12,18
2007-01,50
2007-02,21
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,10
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,28
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,6
2009-02,0
2009-03,12
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,8
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,15
2010-03,5
2010-04,0
2010-05,0
2010-06,0
2010-07,7
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,4
2011-03,0
2011-04,0
2011-05,0
2011-06,7
2011-07,0
2011-08,0
2011-09,4
2011-10,5
2011-11,3
2011-12,0
2012-01,11
2012-02,4
2012-03,0
2012-04,6
2012-05,0
2012-06,0
2012-07,0
2012-08,5
2012-09,0
2012-10,3
2012-11,0
2012-12,4
2013-01,20
2013-02,0
2013-03,0
2013-04,3
2013-05,0
2013-06,0
2013-07,0
2013-08,2
2013-09,0
2013-10,5
2013-11,4
2013-12,0
2014-01,0
2014-02,0
2014-03,3
2014-04,3
2014-05,5
2014-06,2
2014-07,0
2014-08,6
2014-09,0
2014-10,2
2014-11,3
2014-12,3
2015-01,0
2015-02,5
2015-03,0
2015-04,0
2015-05,4
2015-06,2
2015-07,0
2015-08,0
2015-09,2
2015-10,3
2015-11,0
2015-12,5
2016-01,7
2016-02,0
2016-03,9
2016-04,0
2016-05,2
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,4
2016-11,7
2016-12,0
2017-01,0
2017-02,4
2017-03,2
2017-04,3
2017-05,5
2017-06,7
2017-07,3
2017-08,0
2017-09,3
2017-10,0
2017-11,4
2017-12,2
2018-01,5
2018-02,0
2018-03,6
2018-04,5
2018-05,2
2018-06,2
2018-07,1
2018-08,0
2018-09,2
2018-10,6
2018-11,0
2018-12,2
2019-01,5
2019-02,0
2019-03,5
2019-04,2
2019-05,4
2019-06,0
2019-07,2
2019-08,3
2019-09,2
2019-10,4
2019-11,4
2019-12,2
2020-01,7
2020-02,0
2020-03,4
2020-04,3
2020-05,3
2020-06,5
2020-07,0
2020-08,2
2020-09,5
2020-10,4
2020-11,5
2020-12,0
2021-01,2
2021-02,3
2021-03,4
2021-04,5
2021-05,5
2021-06,3
2021-07,0
2021-08,0
2021-09,2
2021-10,8
2021-11,4
2021-12,6
2022-01,6
2022-02,4
2022-03,1
2022-04,4
2022-05,3
2022-06,5
2022-07,0
2022-08,5
2022-09,2
2022-10,2
2022-11,4
2022-12,2
2023-01,5
2023-02,6
2023-03,4
2023-04,4
2023-05,5
2023-06,0
2023-07,4
2023-08,0
2023-09,5
2023-10,6
