Kategoria: Wszystko

Miesiąc,Autism spectrum: (Cały świat)
2004-01,16
2004-02,8
2004-03,19
2004-04,19
2004-05,24
2004-06,22
2004-07,10
2004-08,16
2004-09,12
2004-10,23
2004-11,17
2004-12,15
2005-01,19
2005-02,24
2005-03,23
2005-04,19
2005-05,19
2005-06,18
2005-07,18
2005-08,18
2005-09,20
2005-10,19
2005-11,23
2005-12,14
2006-01,18
2006-02,16
2006-03,23
2006-04,22
2006-05,21
2006-06,18
2006-07,17
2006-08,18
2006-09,22
2006-10,23
2006-11,19
2006-12,20
2007-01,23
2007-02,26
2007-03,23
2007-04,31
2007-05,22
2007-06,20
2007-07,20
2007-08,20
2007-09,31
2007-10,30
2007-11,27
2007-12,22
2008-01,24
2008-02,23
2008-03,28
2008-04,34
2008-05,24
2008-06,24
2008-07,22
2008-08,22
2008-09,26
2008-10,31
2008-11,30
2008-12,23
2009-01,23
2009-02,29
2009-03,31
2009-04,33
2009-05,28
2009-06,29
2009-07,23
2009-08,26
2009-09,29
2009-10,37
2009-11,36
2009-12,27
2010-01,32
2010-02,37
2010-03,35
2010-04,46
2010-05,35
2010-06,28
2010-07,26
2010-08,27
2010-09,31
2010-10,100
2010-11,46
2010-12,29
2011-01,34
2011-02,35
2011-03,35
2011-04,37
2011-05,34
2011-06,25
2011-07,30
2011-08,26
2011-09,29
2011-10,36
2011-11,38
2011-12,32
2012-01,33
2012-02,32
2012-03,39
2012-04,47
2012-05,37
2012-06,32
2012-07,30
2012-08,32
2012-09,37
2012-10,40
2012-11,38
2012-12,36
2013-01,33
2013-02,35
2013-03,39
2013-04,46
2013-05,36
2013-06,32
2013-07,32
2013-08,32
2013-09,41
2013-10,45
2013-11,43
2013-12,37
2014-01,40
2014-02,41
2014-03,43
2014-04,54
2014-05,43
2014-06,37
2014-07,36
2014-08,37
2014-09,44
2014-10,47
2014-11,63
2014-12,39
2015-01,41
2015-02,47
2015-03,51
2015-04,54
2015-05,44
2015-06,42
2015-07,41
2015-08,37
2015-09,47
2015-10,48
2015-11,49
2015-12,44
2016-01,41
2016-02,45
2016-03,52
2016-04,61
2016-05,48
2016-06,42
2016-07,40
2016-08,41
2016-09,48
2016-10,53
2016-11,53
2016-12,46
2017-01,46
2017-02,55
2017-03,53
2017-04,48
2017-05,41
2017-06,42
2017-07,41
2017-08,50
2017-09,52
2017-10,56
2017-11,57
2017-12,45
2018-01,48
2018-02,52
2018-03,57
2018-04,64
2018-05,48
2018-06,46
2018-07,49
2018-08,44
2018-09,55
2018-10,54
2018-11,58
2018-12,53
2019-01,50
2019-02,53
2019-03,70
2019-04,75
2019-05,57
2019-06,55
2019-07,49
2019-08,51
2019-09,58
2019-10,61
2019-11,63
2019-12,53
2020-01,54
2020-02,59
2020-03,48
2020-04,48
2020-05,45
2020-06,50
2020-07,48
2020-08,58
2020-09,53
2020-10,47
2020-11,44
2020-12,47
2021-01,43
2021-02,50
2021-03,49
2021-04,62
2021-05,56
2021-06,52
2021-07,50
2021-08,53
2021-09,52
2021-10,55
2021-11,58
2021-12,54
2022-01,52
2022-02,57
2022-03,68
2022-04,85
2022-05,72
2022-06,63
2022-07,67
2022-08,69
2022-09,67
2022-10,65
2022-11,72
2022-12,91
2023-01,93
2023-02,83
2023-03,93
2023-04,89
2023-05,70
2023-06,69
2023-07,65
2023-08,59
2023-09,65
2023-10,71
