Kategoria: Wszystko

Miesiąc,Autism: (Cały świat)
2004-01,52
2004-02,57
2004-03,57
2004-04,66
2004-05,58
2004-06,51
2004-07,47
2004-08,49
2004-09,54
2004-10,57
2004-11,61
2004-12,48
2005-01,50
2005-02,75
2005-03,63
2005-04,61
2005-05,60
2005-06,51
2005-07,50
2005-08,48
2005-09,53
2005-10,53
2005-11,50
2005-12,38
2006-01,50
2006-02,50
2006-03,60
2006-04,56
2006-05,53
2006-06,47
2006-07,45
2006-08,46
2006-09,54
2006-10,63
2006-11,56
2006-12,44
2007-01,53
2007-02,66
2007-03,61
2007-04,76
2007-05,59
2007-06,57
2007-07,47
2007-08,51
2007-09,75
2007-10,83
2007-11,63
2007-12,47
2008-01,56
2008-02,61
2008-03,72
2008-04,87
2008-05,61
2008-06,54
2008-07,54
2008-08,45
2008-09,56
2008-10,61
2008-11,55
2008-12,43
2009-01,57
2009-02,58
2009-03,54
2009-04,66
2009-05,55
2009-06,43
2009-07,45
2009-08,44
2009-09,53
2009-10,60
2009-11,53
2009-12,43
2010-01,50
2010-02,59
2010-03,58
2010-04,69
2010-05,53
2010-06,44
2010-07,41
2010-08,44
2010-09,49
2010-10,57
2010-11,51
2010-12,40
2011-01,51
2011-02,50
2011-03,51
2011-04,69
2011-05,51
2011-06,44
2011-07,43
2011-08,39
2011-09,46
2011-10,52
2011-11,51
2011-12,42
2012-01,47
2012-02,48
2012-03,55
2012-04,75
2012-05,51
2012-06,45
2012-07,47
2012-08,47
2012-09,50
2012-10,56
2012-11,47
2012-12,44
2013-01,48
2013-02,50
2013-03,54
2013-04,72
2013-05,50
2013-06,44
2013-07,45
2013-08,50
2013-09,51
2013-10,51
2013-11,50
2013-12,42
2014-01,47
2014-02,49
2014-03,58
2014-04,71
2014-05,50
2014-06,44
2014-07,40
2014-08,46
2014-09,51
2014-10,49
2014-11,47
2014-12,41
2015-01,47
2015-02,56
2015-03,55
2015-04,73
2015-05,49
2015-06,48
2015-07,45
2015-08,43
2015-09,52
2015-10,52
2015-11,48
2015-12,44
2016-01,49
2016-02,52
2016-03,61
2016-04,81
2016-05,55
2016-06,47
2016-07,47
2016-08,46
2016-09,52
2016-10,55
2016-11,56
2016-12,48
2017-01,56
2017-02,59
2017-03,68
2017-04,79
2017-05,65
2017-06,54
2017-07,49
2017-08,52
2017-09,56
2017-10,61
2017-11,61
2017-12,51
2018-01,52
2018-02,60
2018-03,68
2018-04,81
2018-05,59
2018-06,50
2018-07,50
2018-08,52
2018-09,60
2018-10,61
2018-11,63
2018-12,53
2019-01,57
2019-02,66
2019-03,71
2019-04,88
2019-05,61
2019-06,58
2019-07,53
2019-08,56
2019-09,61
2019-10,63
2019-11,62
2019-12,54
2020-01,61
2020-02,61
2020-03,53
2020-04,55
2020-05,51
2020-06,51
2020-07,51
2020-08,53
2020-09,55
2020-10,49
2020-11,49
2020-12,45
2021-01,51
2021-02,55
2021-03,60
2021-04,75
2021-05,60
2021-06,56
2021-07,58
2021-08,58
2021-09,64
2021-10,61
2021-11,59
2021-12,64
2022-01,61
2022-02,65
2022-03,74
2022-04,88
2022-05,72
2022-06,71
2022-07,69
2022-08,75
2022-09,71
2022-10,71
2022-11,74
2022-12,71
2023-01,80
2023-02,83
2023-03,91
2023-04,100
2023-05,84
2023-06,81
2023-07,77
2023-08,76
2023-09,79
2023-10,80
