Kategoria: Wszystko

Miesiąc,trouble du spectre autistique: (Cały świat)
2004-01,0
2004-02,0
2004-03,0
2004-04,100
2004-05,93
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,35
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,26
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,66
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,43
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,13
2008-05,0
2008-06,0
2008-07,15
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,11
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,17
2009-12,9
2010-01,0
2010-02,0
2010-03,11
2010-04,0
2010-05,7
2010-06,0
2010-07,0
2010-08,0
2010-09,13
2010-10,0
2010-11,0
2010-12,8
2011-01,0
2011-02,0
2011-03,5
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,5
2011-12,0
2012-01,5
2012-02,12
2012-03,0
2012-04,0
2012-05,8
2012-06,17
2012-07,0
2012-08,0
2012-09,11
2012-10,16
2012-11,9
2012-12,0
2013-01,5
2013-02,6
2013-03,13
2013-04,14
2013-05,8
2013-06,15
2013-07,10
2013-08,4
2013-09,9
2013-10,10
2013-11,11
2013-12,0
2014-01,6
2014-02,12
2014-03,8
2014-04,17
2014-05,8
2014-06,9
2014-07,9
2014-08,8
2014-09,16
2014-10,8
2014-11,11
2014-12,15
2015-01,11
2015-02,10
2015-03,13
2015-04,13
2015-05,17
2015-06,20
2015-07,10
2015-08,16
2015-09,25
2015-10,27
2015-11,12
2015-12,24
2016-01,23
2016-02,31
2016-03,21
2016-04,23
2016-05,24
2016-06,23
2016-07,17
2016-08,23
2016-09,30
2016-10,23
2016-11,18
2016-12,17
2017-01,18
2017-02,25
2017-03,17
2017-04,16
2017-05,23
2017-06,14
2017-07,13
2017-08,10
2017-09,15
2017-10,23
2017-11,24
2017-12,12
2018-01,19
2018-02,14
2018-03,21
2018-04,25
2018-05,13
2018-06,20
2018-07,19
2018-08,14
2018-09,23
2018-10,21
2018-11,26
2018-12,21
2019-01,17
2019-02,23
2019-03,29
2019-04,17
2019-05,26
2019-06,27
2019-07,24
2019-08,8
2019-09,26
2019-10,28
2019-11,27
2019-12,32
2020-01,30
2020-02,26
2020-03,16
2020-04,21
2020-05,22
2020-06,24
2020-07,20
2020-08,25
2020-09,23
2020-10,32
2020-11,47
2020-12,44
2021-01,29
2021-02,26
2021-03,30
2021-04,29
2021-05,29
2021-06,30
2021-07,11
2021-08,13
2021-09,23
2021-10,25
2021-11,29
2021-12,36
2022-01,35
2022-02,32
2022-03,46
2022-04,39
2022-05,46
2022-06,35
2022-07,20
2022-08,19
2022-09,26
2022-10,32
2022-11,36
2022-12,35
2023-01,32
2023-02,31
2023-03,29
2023-04,37
2023-05,35
2023-06,33
2023-07,26
2023-08,15
2023-09,26
2023-10,36
