Kategoria: Wszystko

Miesiąc,Autismus: (Cały świat)
2004-01,59
2004-02,68
2004-03,62
2004-04,51
2004-05,57
2004-06,65
2004-07,57
2004-08,56
2004-09,62
2004-10,72
2004-11,76
2004-12,58
2005-01,61
2005-02,65
2005-03,58
2005-04,58
2005-05,61
2005-06,59
2005-07,51
2005-08,43
2005-09,55
2005-10,60
2005-11,62
2005-12,56
2006-01,55
2006-02,65
2006-03,72
2006-04,72
2006-05,63
2006-06,60
2006-07,47
2006-08,46
2006-09,55
2006-10,55
2006-11,64
2006-12,50
2007-01,65
2007-02,54
2007-03,64
2007-04,51
2007-05,61
2007-06,64
2007-07,55
2007-08,61
2007-09,56
2007-10,52
2007-11,54
2007-12,49
2008-01,55
2008-02,58
2008-03,54
2008-04,60
2008-05,53
2008-06,57
2008-07,48
2008-08,43
2008-09,48
2008-10,49
2008-11,63
2008-12,46
2009-01,59
2009-02,56
2009-03,59
2009-04,54
2009-05,53
2009-06,49
2009-07,42
2009-08,42
2009-09,49
2009-10,51
2009-11,56
2009-12,44
2010-01,54
2010-02,53
2010-03,59
2010-04,51
2010-05,48
2010-06,47
2010-07,43
2010-08,46
2010-09,50
2010-10,53
2010-11,54
2010-12,42
2011-01,69
2011-02,58
2011-03,55
2011-04,52
2011-05,51
2011-06,44
2011-07,44
2011-08,40
2011-09,46
2011-10,54
2011-11,53
2011-12,47
2012-01,59
2012-02,57
2012-03,55
2012-04,58
2012-05,50
2012-06,59
2012-07,51
2012-08,43
2012-09,53
2012-10,49
2012-11,56
2012-12,51
2013-01,56
2013-02,60
2013-03,51
2013-04,59
2013-05,61
2013-06,49
2013-07,49
2013-08,51
2013-09,51
2013-10,55
2013-11,54
2013-12,49
2014-01,62
2014-02,57
2014-03,54
2014-04,58
2014-05,53
2014-06,52
2014-07,50
2014-08,48
2014-09,56
2014-10,54
2014-11,57
2014-12,48
2015-01,62
2015-02,61
2015-03,68
2015-04,63
2015-05,57
2015-06,52
2015-07,50
2015-08,43
2015-09,52
2015-10,53
2015-11,57
2015-12,52
2016-01,52
2016-02,55
2016-03,52
2016-04,60
2016-05,49
2016-06,50
2016-07,42
2016-08,39
2016-09,51
2016-10,48
2016-11,53
2016-12,45
2017-01,52
2017-02,60
2017-03,58
2017-04,57
2017-05,63
2017-06,59
2017-07,51
2017-08,51
2017-09,59
2017-10,53
2017-11,60
2017-12,51
2018-01,60
2018-02,61
2018-03,62
2018-04,59
2018-05,49
2018-06,55
2018-07,51
2018-08,55
2018-09,69
2018-10,66
2018-11,62
2018-12,57
2019-01,71
2019-02,71
2019-03,76
2019-04,72
2019-05,64
2019-06,60
2019-07,65
2019-08,68
2019-09,76
2019-10,72
2019-11,75
2019-12,68
2020-01,75
2020-02,69
2020-03,49
2020-04,46
2020-05,54
2020-06,56
2020-07,57
2020-08,55
2020-09,63
2020-10,65
2020-11,58
2020-12,57
2021-01,60
2021-02,64
2021-03,68
2021-04,70
2021-05,63
2021-06,63
2021-07,63
2021-08,66
2021-09,66
2021-10,70
2021-11,63
2021-12,66
2022-01,71
2022-02,68
2022-03,67
2022-04,76
2022-05,76
2022-06,74
2022-07,87
2022-08,70
2022-09,74
2022-10,77
2022-11,90
2022-12,74
2023-01,94
2023-02,95
2023-03,86
2023-04,91
2023-05,93
2023-06,86
2023-07,78
2023-08,81
2023-09,100
2023-10,96
