Kategoria: Wszystko

Miesiąc,自閉症スペクトラム障害: (Cały świat)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,54
2004-08,42
2004-09,0
2004-10,0
2004-11,0
2004-12,47
2005-01,0
2005-02,41
2005-03,0
2005-04,0
2005-05,31
2005-06,0
2005-07,30
2005-08,0
2005-09,0
2005-10,0
2005-11,10
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,16
2006-08,45
2006-09,11
2006-10,0
2006-11,0
2006-12,0
2007-01,8
2007-02,13
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,8
2007-08,7
2007-09,0
2007-10,6
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,5
2008-09,0
2008-10,0
2008-11,3
2008-12,9
2009-01,0
2009-02,5
2009-03,5
2009-04,3
2009-05,4
2009-06,0
2009-07,4
2009-08,0
2009-09,0
2009-10,0
2009-11,4
2009-12,5
2010-01,3
2010-02,2
2010-03,6
2010-04,0
2010-05,8
2010-06,5
2010-07,4
2010-08,7
2010-09,5
2010-10,7
2010-11,3
2010-12,4
2011-01,5
2011-02,10
2011-03,0
2011-04,2
2011-05,3
2011-06,11
2011-07,7
2011-08,0
2011-09,3
2011-10,5
2011-11,3
2011-12,4
2012-01,5
2012-02,5
2012-03,6
2012-04,5
2012-05,5
2012-06,12
2012-07,11
2012-08,8
2012-09,6
2012-10,6
2012-11,7
2012-12,12
2013-01,5
2013-02,13
2013-03,12
2013-04,10
2013-05,11
2013-06,14
2013-07,25
2013-08,12
2013-09,15
2013-10,16
2013-11,14
2013-12,13
2014-01,18
2014-02,16
2014-03,10
2014-04,14
2014-05,16
2014-06,13
2014-07,24
2014-08,22
2014-09,18
2014-10,19
2014-11,16
2014-12,13
2015-01,17
2015-02,16
2015-03,16
2015-04,17
2015-05,31
2015-06,25
2015-07,53
2015-08,41
2015-09,67
2015-10,44
2015-11,25
2015-12,21
2016-01,31
2016-02,52
2016-03,26
2016-04,25
2016-05,26
2016-06,58
2016-07,72
2016-08,22
2016-09,25
2016-10,25
2016-11,26
2016-12,38
2017-01,28
2017-02,30
2017-03,33
2017-04,100
2017-05,44
2017-06,36
2017-07,42
2017-08,25
2017-09,28
2017-10,27
2017-11,31
2017-12,31
2018-01,29
2018-02,29
2018-03,27
2018-04,35
2018-05,38
2018-06,49
2018-07,60
2018-08,41
2018-09,38
2018-10,47
2018-11,45
2018-12,38
2019-01,38
2019-02,41
2019-03,39
2019-04,64
2019-05,58
2019-06,46
2019-07,45
2019-08,43
2019-09,37
2019-10,41
2019-11,63
2019-12,51
2020-01,46
2020-02,51
2020-03,47
2020-04,31
2020-05,39
2020-06,61
2020-07,51
2020-08,47
2020-09,45
2020-10,38
2020-11,37
2020-12,38
2021-01,33
2021-02,38
2021-03,41
2021-04,41
2021-05,45
2021-06,49
2021-07,50
2021-08,44
2021-09,42
2021-10,51
2021-11,44
2021-12,47
2022-01,44
2022-02,41
2022-03,41
2022-04,48
2022-05,50
2022-06,52
2022-07,48
2022-08,48
2022-09,48
2022-10,43
2022-11,43
2022-12,45
2023-01,47
2023-02,58
2023-03,47
2023-04,52
2023-05,52
2023-06,58
2023-07,58
2023-08,51
2023-09,44
2023-10,46
