Kategoria: Wszystko

Miesiąc,Spektrum autyzmu: (Cały świat)
2004-01,36
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,29
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,36
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,86
2005-12,0
2006-01,27
2006-02,0
2006-03,0
2006-04,0
2006-05,15
2006-06,32
2006-07,11
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,17
2007-01,9
2007-02,0
2007-03,9
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,10
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,17
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,4
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,3
2009-11,0
2009-12,0
2010-01,4
2010-02,0
2010-03,4
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,5
2010-09,0
2010-10,4
2010-11,0
2010-12,9
2011-01,6
2011-02,0
2011-03,3
2011-04,4
2011-05,0
2011-06,8
2011-07,0
2011-08,0
2011-09,6
2011-10,3
2011-11,0
2011-12,3
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,3
2012-06,8
2012-07,0
2012-08,4
2012-09,4
2012-10,9
2012-11,4
2012-12,2
2013-01,3
2013-02,3
2013-03,5
2013-04,5
2013-05,7
2013-06,3
2013-07,7
2013-08,2
2013-09,8
2013-10,6
2013-11,4
2013-12,4
2014-01,6
2014-02,6
2014-03,7
2014-04,6
2014-05,4
2014-06,6
2014-07,0
2014-08,7
2014-09,8
2014-10,9
2014-11,6
2014-12,5
2015-01,10
2015-02,8
2015-03,8
2015-04,7
2015-05,8
2015-06,8
2015-07,10
2015-08,0
2015-09,10
2015-10,11
2015-11,8
2015-12,7
2016-01,8
2016-02,12
2016-03,10
2016-04,13
2016-05,8
2016-06,10
2016-07,7
2016-08,0
2016-09,9
2016-10,10
2016-11,8
2016-12,9
2017-01,14
2017-02,8
2017-03,12
2017-04,10
2017-05,6
2017-06,11
2017-07,9
2017-08,6
2017-09,13
2017-10,11
2017-11,10
2017-12,15
2018-01,19
2018-02,15
2018-03,17
2018-04,20
2018-05,16
2018-06,11
2018-07,10
2018-08,11
2018-09,18
2018-10,15
2018-11,17
2018-12,17
2019-01,22
2019-02,20
2019-03,22
2019-04,24
2019-05,23
2019-06,22
2019-07,15
2019-08,12
2019-09,17
2019-10,26
2019-11,24
2019-12,17
2020-01,24
2020-02,26
2020-03,15
2020-04,20
2020-05,18
2020-06,25
2020-07,18
2020-08,19
2020-09,31
2020-10,20
2020-11,26
2020-12,23
2021-01,33
2021-02,37
2021-03,44
2021-04,39
2021-05,38
2021-06,33
2021-07,30
2021-08,30
2021-09,28
2021-10,30
2021-11,42
2021-12,32
2022-01,66
2022-02,61
2022-03,63
2022-04,68
2022-05,72
2022-06,55
2022-07,50
2022-08,57
2022-09,58
2022-10,70
2022-11,66
2022-12,70
2023-01,86
2023-02,88
2023-03,86
2023-04,100
2023-05,80
2023-06,80
2023-07,66
2023-08,62
2023-09,79
2023-10,76
