Kategoria: Wszystko

Miesiąc,autyzm: (Cały świat)
2004-01,16
2004-02,16
2004-03,26
2004-04,38
2004-05,48
2004-06,36
2004-07,11
2004-08,17
2004-09,27
2004-10,47
2004-11,49
2004-12,39
2005-01,64
2005-02,38
2005-03,42
2005-04,30
2005-05,49
2005-06,53
2005-07,28
2005-08,33
2005-09,44
2005-10,44
2005-11,58
2005-12,51
2006-01,72
2006-02,51
2006-03,52
2006-04,53
2006-05,50
2006-06,38
2006-07,31
2006-08,30
2006-09,59
2006-10,47
2006-11,72
2006-12,56
2007-01,61
2007-02,54
2007-03,46
2007-04,49
2007-05,53
2007-06,43
2007-07,30
2007-08,31
2007-09,44
2007-10,47
2007-11,48
2007-12,45
2008-01,71
2008-02,43
2008-03,45
2008-04,47
2008-05,50
2008-06,38
2008-07,39
2008-08,39
2008-09,44
2008-10,58
2008-11,67
2008-12,45
2009-01,59
2009-02,53
2009-03,53
2009-04,50
2009-05,54
2009-06,50
2009-07,40
2009-08,47
2009-09,51
2009-10,59
2009-11,66
2009-12,44
2010-01,53
2010-02,48
2010-03,52
2010-04,49
2010-05,56
2010-06,49
2010-07,42
2010-08,39
2010-09,42
2010-10,48
2010-11,50
2010-12,38
2011-01,53
2011-02,51
2011-03,46
2011-04,56
2011-05,47
2011-06,40
2011-07,36
2011-08,32
2011-09,45
2011-10,41
2011-11,42
2011-12,47
2012-01,69
2012-02,51
2012-03,47
2012-04,52
2012-05,53
2012-06,40
2012-07,38
2012-08,37
2012-09,50
2012-10,41
2012-11,47
2012-12,49
2013-01,47
2013-02,55
2013-03,50
2013-04,65
2013-05,48
2013-06,44
2013-07,37
2013-08,40
2013-09,52
2013-10,52
2013-11,58
2013-12,51
2014-01,69
2014-02,57
2014-03,55
2014-04,56
2014-05,55
2014-06,46
2014-07,38
2014-08,38
2014-09,49
2014-10,53
2014-11,54
2014-12,51
2015-01,59
2015-02,72
2015-03,62
2015-04,66
2015-05,55
2015-06,47
2015-07,43
2015-08,47
2015-09,52
2015-10,52
2015-11,62
2015-12,48
2016-01,59
2016-02,53
2016-03,60
2016-04,77
2016-05,58
2016-06,51
2016-07,40
2016-08,40
2016-09,52
2016-10,57
2016-11,60
2016-12,49
2017-01,63
2017-02,65
2017-03,70
2017-04,79
2017-05,64
2017-06,58
2017-07,45
2017-08,47
2017-09,58
2017-10,56
2017-11,66
2017-12,49
2018-01,65
2018-02,61
2018-03,68
2018-04,94
2018-05,61
2018-06,57
2018-07,46
2018-08,45
2018-09,65
2018-10,62
2018-11,67
2018-12,52
2019-01,56
2019-02,62
2019-03,74
2019-04,83
2019-05,53
2019-06,51
2019-07,45
2019-08,47
2019-09,61
2019-10,57
2019-11,63
2019-12,53
2020-01,69
2020-02,58
2020-03,43
2020-04,48
2020-05,45
2020-06,46
2020-07,42
2020-08,43
2020-09,49
2020-10,51
2020-11,49
2020-12,48
2021-01,61
2021-02,64
2021-03,71
2021-04,79
2021-05,55
2021-06,57
2021-07,55
2021-08,60
2021-09,60
2021-10,55
2021-11,52
2021-12,45
2022-01,74
2022-02,74
2022-03,84
2022-04,87
2022-05,66
2022-06,60
2022-07,57
2022-08,61
2022-09,65
2022-10,72
2022-11,76
2022-12,84
2023-01,88
2023-02,80
2023-03,90
2023-04,100
2023-05,76
2023-06,75
2023-07,70
2023-08,67
2023-09,75
2023-10,71
