Kategoria: Wszystko

Miesiąc,autismo: (Cały świat)
2004-01,13
2004-02,13
2004-03,16
2004-04,17
2004-05,17
2004-06,17
2004-07,11
2004-08,12
2004-09,15
2004-10,18
2004-11,20
2004-12,12
2005-01,12
2005-02,15
2005-03,15
2005-04,19
2005-05,20
2005-06,16
2005-07,13
2005-08,11
2005-09,15
2005-10,16
2005-11,18
2005-12,10
2006-01,12
2006-02,13
2006-03,15
2006-04,15
2006-05,17
2006-06,14
2006-07,10
2006-08,11
2006-09,13
2006-10,16
2006-11,16
2006-12,11
2007-01,11
2007-02,12
2007-03,14
2007-04,14
2007-05,16
2007-06,14
2007-07,11
2007-08,11
2007-09,16
2007-10,16
2007-11,17
2007-12,11
2008-01,12
2008-02,13
2008-03,13
2008-04,17
2008-05,18
2008-06,16
2008-07,12
2008-08,12
2008-09,15
2008-10,16
2008-11,15
2008-12,11
2009-01,14
2009-02,13
2009-03,16
2009-04,17
2009-05,17
2009-06,17
2009-07,12
2009-08,12
2009-09,14
2009-10,17
2009-11,16
2009-12,11
2010-01,12
2010-02,14
2010-03,14
2010-04,19
2010-05,16
2010-06,15
2010-07,13
2010-08,11
2010-09,13
2010-10,14
2010-11,16
2010-12,11
2011-01,12
2011-02,14
2011-03,17
2011-04,22
2011-05,17
2011-06,15
2011-07,12
2011-08,13
2011-09,15
2011-10,16
2011-11,16
2011-12,14
2012-01,12
2012-02,14
2012-03,20
2012-04,30
2012-05,20
2012-06,17
2012-07,16
2012-08,13
2012-09,17
2012-10,17
2012-11,17
2012-12,14
2013-01,14
2013-02,16
2013-03,18
2013-04,34
2013-05,22
2013-06,21
2013-07,16
2013-08,24
2013-09,20
2013-10,21
2013-11,19
2013-12,14
2014-01,18
2014-02,18
2014-03,24
2014-04,41
2014-05,20
2014-06,19
2014-07,24
2014-08,17
2014-09,20
2014-10,21
2014-11,23
2014-12,16
2015-01,16
2015-02,18
2015-03,24
2015-04,47
2015-05,24
2015-06,23
2015-07,19
2015-08,18
2015-09,22
2015-10,22
2015-11,22
2015-12,17
2016-01,17
2016-02,19
2016-03,26
2016-04,50
2016-05,28
2016-06,22
2016-07,19
2016-08,17
2016-09,22
2016-10,24
2016-11,21
2016-12,18
2017-01,18
2017-02,22
2017-03,30
2017-04,41
2017-05,25
2017-06,24
2017-07,21
2017-08,23
2017-09,25
2017-10,27
2017-11,25
2017-12,18
2018-01,20
2018-02,23
2018-03,32
2018-04,55
2018-05,28
2018-06,26
2018-07,23
2018-08,26
2018-09,29
2018-10,28
2018-11,27
2018-12,22
2019-01,25
2019-02,30
2019-03,38
2019-04,68
2019-05,36
2019-06,34
2019-07,31
2019-08,32
2019-09,36
2019-10,35
2019-11,35
2019-12,35
2020-01,34
2020-02,32
2020-03,30
2020-04,49
2020-05,28
2020-06,28
2020-07,27
2020-08,25
2020-09,28
2020-10,30
2020-11,26
2020-12,26
2021-01,27
2021-02,29
2021-03,33
2021-04,54
2021-05,34
2021-06,34
2021-07,33
2021-08,36
2021-09,33
2021-10,35
2021-11,35
2021-12,30
2022-01,34
2022-02,42
2022-03,60
2022-04,84
2022-05,48
2022-06,49
2022-07,48
2022-08,55
2022-09,56
2022-10,53
2022-11,49
2022-12,47
2023-01,49
2023-02,54
2023-03,80
2023-04,100
2023-05,61
2023-06,58
2023-07,50
2023-08,53
2023-09,57
2023-10,55
