,code,country,afrikaans_short_geoMap,german_short_geoMap,portugese_long_geoMap,arabic_long_geoMap,hebrew_long_geoMap,portugese_short_geoMap,bulgarian_long_geoMap,indonesian_long_geoMap,russian_long_geoMap,chineeshk_long_geoMap,japanese_long_geoMap,russian_short_geoMap,chinees_long_geoMap,korean_long_geoMap,czech_long_geoMap,korean_short_geoMap,slovaks_long_geoMap,dutch_long_geoMap,kroatian_long_geoMap,spanish_long_geoMap,english_long_geoMap,norwegian_long_geoMap,swahili_short_geoMap,english_short_geoMap,persian_long_geoMap,turkish_long_geoMap,finnish_long_geoMap,polish_long_geoMap,vietnamese_long_geoMap,french_long_geoMap,polish_short_geoMap
0,ZAF,South Africa,100.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,TKM,Turkmenistan,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,66,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,LUX,Luxembourg,0.0,38,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,NLD,Netherlands,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0.0,49.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4,BEL,Belgium,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0.0,100.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,44.0,1
5,TUN,Tunisia,0.0,0,0.0,35.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,DZA,Algeria,0.0,0,0.0,41.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
7,MAR,Morocco,0.0,0,0.0,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,KWT,Kuwait,0.0,0,0.0,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,SLV,El Salvador,0.0,0,0.0,0.0,0,46,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
