Kategoria: Wszystko

Miesiąc,Расстройство аутистического спектра: (Cały świat)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,71
2004-06,0
2004-07,0
2004-08,0
2004-09,100
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,51
2006-03,0
2006-04,0
2006-05,36
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,63
2006-11,0
2006-12,22
2007-01,0
2007-02,0
2007-03,0
2007-04,37
2007-05,0
2007-06,26
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,24
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,12
2009-02,10
2009-03,0
2009-04,0
2009-05,16
2009-06,0
2009-07,34
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,7
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,16
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,6
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,10
2012-06,0
2012-07,3
2012-08,9
2012-09,4
2012-10,0
2012-11,9
2012-12,3
2013-01,0
2013-02,0
2013-03,0
2013-04,5
2013-05,0
2013-06,5
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,2
2014-04,0
2014-05,4
2014-06,9
2014-07,0
2014-08,6
2014-09,4
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,5
2015-04,0
2015-05,3
2015-06,6
2015-07,5
2015-08,0
2015-09,0
2015-10,5
2015-11,4
2015-12,3
2016-01,0
2016-02,0
2016-03,3
2016-04,6
2016-05,5
2016-06,0
2016-07,5
2016-08,5
2016-09,0
2016-10,2
2016-11,4
2016-12,0
2017-01,2
2017-02,14
2017-03,6
2017-04,5
2017-05,5
2017-06,10
2017-07,8
2017-08,4
2017-09,10
2017-10,5
2017-11,6
2017-12,0
2018-01,8
2018-02,6
2018-03,7
2018-04,10
2018-05,8
2018-06,8
2018-07,10
2018-08,5
2018-09,7
2018-10,6
2018-11,8
2018-12,9
2019-01,12
2019-02,6
2019-03,13
2019-04,15
2019-05,8
2019-06,10
2019-07,10
2019-08,10
2019-09,11
2019-10,11
2019-11,14
2019-12,7
2020-01,11
2020-02,9
2020-03,16
2020-04,9
2020-05,4
2020-06,14
2020-07,15
2020-08,9
2020-09,12
2020-10,12
2020-11,18
2020-12,12
2021-01,8
2021-02,15
2021-03,20
2021-04,15
2021-05,9
2021-06,16
2021-07,15
2021-08,21
2021-09,18
2021-10,18
2021-11,20
2021-12,11
2022-01,19
2022-02,21
2022-03,13
2022-04,12
2022-05,20
2022-06,18
2022-07,22
2022-08,16
2022-09,23
2022-10,24
2022-11,22
2022-12,17
2023-01,36
2023-02,30
2023-03,25
2023-04,26
2023-05,22
2023-06,38
2023-07,27
2023-08,37
2023-09,31
2023-10,36
