Kategoria: Wszystko

Miesiąc,аутизм: (Cały świat)
2004-01,7
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,8
2004-07,0
2004-08,3
2004-09,5
2004-10,5
2004-11,0
2004-12,0
2005-01,0
2005-02,5
2005-03,6
2005-04,4
2005-05,4
2005-06,5
2005-07,4
2005-08,0
2005-09,4
2005-10,5
2005-11,6
2005-12,5
2006-01,7
2006-02,10
2006-03,3
2006-04,4
2006-05,10
2006-06,7
2006-07,3
2006-08,3
2006-09,5
2006-10,4
2006-11,6
2006-12,8
2007-01,7
2007-02,7
2007-03,9
2007-04,10
2007-05,7
2007-06,6
2007-07,4
2007-08,7
2007-09,7
2007-10,6
2007-11,7
2007-12,7
2008-01,7
2008-02,9
2008-03,12
2008-04,8
2008-05,13
2008-06,8
2008-07,10
2008-08,9
2008-09,9
2008-10,13
2008-11,14
2008-12,16
2009-01,18
2009-02,17
2009-03,12
2009-04,18
2009-05,16
2009-06,14
2009-07,17
2009-08,17
2009-09,16
2009-10,19
2009-11,19
2009-12,20
2010-01,18
2010-02,20
2010-03,19
2010-04,25
2010-05,20
2010-06,20
2010-07,16
2010-08,19
2010-09,22
2010-10,24
2010-11,26
2010-12,20
2011-01,26
2011-02,25
2011-03,26
2011-04,30
2011-05,22
2011-06,24
2011-07,22
2011-08,36
2011-09,23
2011-10,33
2011-11,33
2011-12,26
2012-01,27
2012-02,31
2012-03,35
2012-04,48
2012-05,31
2012-06,35
2012-07,28
2012-08,33
2012-09,31
2012-10,30
2012-11,32
2012-12,55
2013-01,37
2013-02,32
2013-03,38
2013-04,84
2013-05,41
2013-06,40
2013-07,30
2013-08,31
2013-09,38
2013-10,45
2013-11,63
2013-12,47
2014-01,51
2014-02,42
2014-03,42
2014-04,67
2014-05,41
2014-06,38
2014-07,36
2014-08,39
2014-09,44
2014-10,49
2014-11,44
2014-12,59
2015-01,59
2015-02,62
2015-03,56
2015-04,98
2015-05,55
2015-06,56
2015-07,48
2015-08,88
2015-09,60
2015-10,62
2015-11,73
2015-12,56
2016-01,64
2016-02,58
2016-03,92
2016-04,100
2016-05,60
2016-06,49
2016-07,47
2016-08,46
2016-09,61
2016-10,61
2016-11,70
2016-12,54
2017-01,62
2017-02,61
2017-03,69
2017-04,81
2017-05,68
2017-06,63
2017-07,60
2017-08,56
2017-09,50
2017-10,55
2017-11,58
2017-12,50
2018-01,53
2018-02,59
2018-03,59
2018-04,86
2018-05,52
2018-06,51
2018-07,47
2018-08,48
2018-09,63
2018-10,63
2018-11,61
2018-12,61
2019-01,55
2019-02,55
2019-03,55
2019-04,75
2019-05,49
2019-06,54
2019-07,53
2019-08,49
2019-09,52
2019-10,55
2019-11,58
2019-12,51
2020-01,57
2020-02,53
2020-03,48
2020-04,55
2020-05,43
2020-06,45
2020-07,47
2020-08,44
2020-09,43
2020-10,47
2020-11,45
2020-12,43
2021-01,49
2021-02,46
2021-03,54
2021-04,64
2021-05,54
2021-06,47
2021-07,50
2021-08,51
2021-09,47
2021-10,46
2021-11,49
2021-12,46
2022-01,53
2022-02,50
2022-03,52
2022-04,59
2022-05,58
2022-06,61
2022-07,64
2022-08,70
2022-09,56
2022-10,65
2022-11,62
2022-12,60
2023-01,64
2023-02,71
2023-03,63
2023-04,72
2023-05,83
2023-06,82
2023-07,70
2023-08,65
2023-09,72
2023-10,73
