Kategoria: Wszystko

Miesiąc,Trastornos del espectro autista: (Cały świat)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,59
2004-08,0
2004-09,100
2004-10,0
2004-11,0
2004-12,92
2005-01,0
2005-02,0
2005-03,0
2005-04,43
2005-05,0
2005-06,0
2005-07,0
2005-08,33
2005-09,0
2005-10,37
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,48
2006-09,0
2006-10,27
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,15
2007-07,0
2007-08,0
2007-09,0
2007-10,13
2007-11,0
2007-12,23
2008-01,35
2008-02,0
2008-03,0
2008-04,14
2008-05,20
2008-06,0
2008-07,25
2008-08,13
2008-09,0
2008-10,15
2008-11,20
2008-12,0
2009-01,0
2009-02,0
2009-03,15
2009-04,18
2009-05,15
2009-06,11
2009-07,0
2009-08,0
2009-09,21
2009-10,15
2009-11,10
2009-12,0
2010-01,10
2010-02,0
2010-03,17
2010-04,13
2010-05,14
2010-06,7
2010-07,0
2010-08,0
2010-09,17
2010-10,10
2010-11,7
2010-12,14
2011-01,11
2011-02,11
2011-03,16
2011-04,0
2011-05,17
2011-06,12
2011-07,7
2011-08,17
2011-09,13
2011-10,8
2011-11,20
2011-12,6
2012-01,5
2012-02,12
2012-03,0
2012-04,12
2012-05,15
2012-06,8
2012-07,11
2012-08,15
2012-09,18
2012-10,12
2012-11,14
2012-12,10
2013-01,8
2013-02,15
2013-03,15
2013-04,31
2013-05,31
2013-06,13
2013-07,11
2013-08,12
2013-09,18
2013-10,21
2013-11,18
2013-12,16
2014-01,13
2014-02,21
2014-03,30
2014-04,18
2014-05,21
2014-06,21
2014-07,14
2014-08,18
2014-09,17
2014-10,23
2014-11,15
2014-12,15
2015-01,17
2015-02,24
2015-03,21
2015-04,32
2015-05,23
2015-06,17
2015-07,16
2015-08,13
2015-09,23
2015-10,22
2015-11,26
2015-12,11
2016-01,14
2016-02,19
2016-03,17
2016-04,29
2016-05,29
2016-06,24
2016-07,11
2016-08,15
2016-09,20
2016-10,24
2016-11,18
2016-12,15
2017-01,9
2017-02,17
2017-03,21
2017-04,22
2017-05,29
2017-06,18
2017-07,13
2017-08,10
2017-09,21
2017-10,19
2017-11,20
2017-12,5
2018-01,10
2018-02,17
2018-03,18
2018-04,27
2018-05,24
2018-06,20
2018-07,22
2018-08,18
2018-09,22
2018-10,27
2018-11,22
2018-12,11
2019-01,12
2019-02,14
2019-03,16
2019-04,22
2019-05,21
2019-06,24
2019-07,14
2019-08,23
2019-09,19
2019-10,20
2019-11,23
2019-12,14
2020-01,12
2020-02,16
2020-03,19
2020-04,20
2020-05,27
2020-06,22
2020-07,16
2020-08,14
2020-09,17
2020-10,20
2020-11,17
2020-12,14
2021-01,12
2021-02,28
2021-03,18
2021-04,26
2021-05,16
2021-06,24
2021-07,17
2021-08,10
2021-09,12
2021-10,21
2021-11,28
2021-12,13
2022-01,22
2022-02,34
2022-03,34
2022-04,35
2022-05,40
2022-06,29
2022-07,22
2022-08,30
2022-09,27
2022-10,27
2022-11,26
2022-12,17
2023-01,16
2023-02,29
2023-03,30
2023-04,28
2023-05,26
2023-06,28
2023-07,18
2023-08,18
2023-09,25
2023-10,21
