Kategoria: Wszystko

Miesiąc,Otizm spektrum bozukluğu: (Cały świat)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,75
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,59
2005-08,0
2005-09,58
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,21
2007-05,19
2007-06,0
2007-07,0
2007-08,0
2007-09,40
2007-10,33
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,54
2008-10,30
2008-11,0
2008-12,15
2009-01,0
2009-02,0
2009-03,0
2009-04,15
2009-05,0
2009-06,29
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,8
2010-02,0
2010-03,11
2010-04,15
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,8
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,7
2012-05,5
2012-06,0
2012-07,0
2012-08,0
2012-09,8
2012-10,5
2012-11,0
2012-12,0
2013-01,0
2013-02,7
2013-03,9
2013-04,6
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,7
2014-02,6
2014-03,3
2014-04,5
2014-05,0
2014-06,7
2014-07,0
2014-08,9
2014-09,12
2014-10,9
2014-11,5
2014-12,7
2015-01,7
2015-02,0
2015-03,12
2015-04,0
2015-05,8
2015-06,6
2015-07,12
2015-08,5
2015-09,0
2015-10,4
2015-11,6
2015-12,4
2016-01,0
2016-02,4
2016-03,14
2016-04,15
2016-05,12
2016-06,4
2016-07,0
2016-08,13
2016-09,0
2016-10,12
2016-11,12
2016-12,33
2017-01,16
2017-02,10
2017-03,21
2017-04,35
2017-05,28
2017-06,21
2017-07,10
2017-08,8
2017-09,6
2017-10,23
2017-11,7
2017-12,29
2018-01,13
2018-02,10
2018-03,20
2018-04,26
2018-05,15
2018-06,9
2018-07,0
2018-08,6
2018-09,14
2018-10,17
2018-11,23
2018-12,17
2019-01,14
2019-02,21
2019-03,17
2019-04,33
2019-05,19
2019-06,16
2019-07,8
2019-08,14
2019-09,93
2019-10,58
2019-11,41
2019-12,38
2020-01,22
2020-02,37
2020-03,37
2020-04,34
2020-05,39
2020-06,52
2020-07,28
2020-08,28
2020-09,32
2020-10,52
2020-11,47
2020-12,77
2021-01,66
2021-02,56
2021-03,59
2021-04,89
2021-05,61
2021-06,70
2021-07,34
2021-08,33
2021-09,28
2021-10,36
2021-11,45
2021-12,77
2022-01,65
2022-02,57
2022-03,54
2022-04,66
2022-05,50
2022-06,38
2022-07,38
2022-08,36
2022-09,49
2022-10,74
2022-11,64
2022-12,63
2023-01,47
2023-02,15
2023-03,57
2023-04,77
2023-05,76
2023-06,100
2023-07,55
2023-08,43
2023-09,43
2023-10,76
