Kategoria: Wszystko

Kraj,Outisme: (Od 1.01.2004 do 13.10.2023)
Republika Południowej Afryki,100
Kiribati,
Wyspy Świętego Tomasza i Książęca,
Tonga,
Turks i Caicos,
Timor Wschodni,
Sudan Południowy,
Grenada,
Antigua i Barbuda,
Wyspy Dziewicze Stanów Zjednoczonych,
Polinezja Francuska,
Namibia,
Lesotho,
Burundi,
Sierra Leone,
Curaçao,
Malawi,
Malediwy,
Fidżi,
Turkmenistan,
Kuba,
Trynidad i Tobago,
Nepal,
Kamerun,
Luksemburg,
Holandia,
Belgia,
Kambodża,
Tunezja,
Algieria,
Maroko,
Kuwejt,
Sudan,
Salwador,
Katar,
Nigeria,
Boliwia,
Litwa,
Dania,
Rumunia,
Słowacja,
Tajwan,
Malezja,
Singapur,
Szwajcaria,
Francja,
Węgry,
Filipiny,
Iran,
Portugalia,
Peru,
Australia,
Wielka Brytania,
Indonezja,
Tajlandia,
Turcja,
Niemcy,
Indie,
Meksyk,
Włochy,
Stany Zjednoczone,
Brazylia,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Austria,
Azerbejdżan,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Bermudy,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Chile,
Chiny,
Côte d’Ivoire,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Czechy,
Dżibuti,
Dominika,
Dominikana,
Ekwador,
Egipt,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Finlandia,
Falklandy (Malwiny),
Wyspy Owcze,
Mikronezja,
Gabon,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Irak,
Islandia,
Izrael,
Jamajka,
Jersey,
Jordania,
Japonia,
Kazachstan,
Kenia,
Kirgistan,
Saint Kitts i Nevis,
Korea Południowa,
Laos,
Liban,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Łotwa,
Makau,
Saint-Martin,
Monako,
Mołdawia,
Madagaskar,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Majotta,
Nowa Kaledonia,
Niger,
Norfolk,
Nikaragua,
Niue,
Norwegia,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Palau,
Papua-Nowa Gwinea,
Polska,
Portoryko,
Korea Północna,
Paragwaj,
Palestyna,
Reunion,
Rosja,
Rwanda,
Arabia Saudyjska,
Senegal,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Surinam,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Czad,
Togo,
Tadżykistan,
Tokelau,
Tuvalu,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Zambia,
Zimbabwe,
