Kategoria: Wszystko

Kraj,طيف التوحد: (Od 1.01.2004 do 13.10.2023)
Libia,100
Jordania,89
Arabia Saudyjska,74
Syria,67
Kuwejt,66
Palestyna,63
Oman,54
Bahrajn,42
Algieria,41
Katar,38
Irak,37
Tunezja,35
Liban,28
Egipt,23
Zjednoczone Emiraty Arabskie,22
Maroko,18
Izrael,6
Niue,
Norfolk,
Mikronezja,
Vanuatu,
San Marino,
Brytyjskie Wyspy Dziewicze,
Burundi,
Sahara Zachodnia,
Mariany Północne,
Sudan,
Guernsey,
Jemen,
Monako,
Nowa Kaledonia,
Eswatini,
Dominika,
Kajmany,
Mauretania,
Czad,
Kongo,
Saint Lucia,
Guam,
Somalia,
Polinezja Francuska,
Togo,
Rwanda,
Martynika,
Mali,
Mozambik,
Armenia,
Senegal,
Zambia,
Szwecja,
Albania,
Luksemburg,
Uzbekistan,
Norwegia,
Turcja,
Białoruś,
Bośnia i Hercegowina,
Belgia,
Kenia,
Niemcy,
Holandia,
Rumunia,
Szwajcaria,
Portugalia,
Kanada,
Dominikana,
Grecja,
Austria,
Francja,
Włochy,
Irlandia,
Malezja,
Nowa Zelandia,
Hiszpania,
Wenezuela,
Australia,
Wielka Brytania,
Filipiny,
Dania,
Stany Zjednoczone,
Korea Południowa,
Indonezja,
Iran,
Wietnam,
Kolumbia,
Polska,
Argentyna,
Rosja,
Brazylia,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Andora,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Azerbejdżan,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahamy,
Saint-Barthélemy,
Belize,
Bermudy,
Boliwia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Cypr,
Czechy,
Dżibuti,
Ekwador,
Erytrea,
Estonia,
Etiopia,
Finlandia,
Fidżi,
Falklandy (Malwiny),
Wyspy Owcze,
Gabon,
Gruzja,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Węgry,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Islandia,
Jamajka,
Jersey,
Japonia,
Kazachstan,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Laos,
Liberia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Łotwa,
Makau,
Saint-Martin,
Mołdawia,
Madagaskar,
Malediwy,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Montserrat,
Mauritius,
Malawi,
Majotta,
Namibia,
Niger,
Nigeria,
Nikaragua,
Nepal,
Nauru,
Pakistan,
Panama,
Pitcairn,
Peru,
Palau,
Papua-Nowa Gwinea,
Portoryko,
Korea Północna,
Paragwaj,
Reunion,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Słowenia,
Sint Maarten,
Seszele,
Turks i Caicos,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Watykan,
Saint Vincent i Grenadyny,
Wyspy Dziewicze Stanów Zjednoczonych,
Wallis i Futuna,
Samoa,
Kosowo,
Republika Południowej Afryki,
Zimbabwe,
