Kategoria: Wszystko

Kraj,Аутистичен спектър: (Od 1.01.2004 do 13.10.2023)
Bułgaria,100
Montserrat,
Falklandy (Malwiny),
Komory,
Mariany Północne,
Dżibuti,
Liechtenstein,
Liberia,
Sudan Południowy,
Curaçao,
Polinezja Francuska,
Haiti,
Togo,
Afganistan,
Jersey,
Gujana,
Gwadelupa,
Madagaskar,
Senegal,
Oman,
Cypr,
Gruzja,
Nikaragua,
Słowenia,
Mołdawia,
Portoryko,
Gwatemala,
Portugalia,
Algieria,
Republika Południowej Afryki,
Wietnam,
Egipt,
Grecja,
Belgia,
Iran,
Austria,
Kolumbia,
Hiszpania,
Francja,
Wielka Brytania,
Stany Zjednoczone,
Aruba,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Azerbejdżan,
Burundi,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Bermudy,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Wyspa Bożego Narodzenia,
Kajmany,
Czechy,
Niemcy,
Dominika,
Dania,
Dominikana,
Ekwador,
Erytrea,
Sahara Zachodnia,
Estonia,
Etiopia,
Finlandia,
Fidżi,
Wyspy Owcze,
Mikronezja,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grenada,
Grenlandia,
Gujana Francuska,
Guam,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Węgry,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Irak,
Islandia,
Izrael,
Włochy,
Jamajka,
Jordania,
Japonia,
Kazachstan,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Libia,
Saint Lucia,
Sri Lanka,
Lesotho,
Litwa,
Luksemburg,
Łotwa,
Makau,
Saint-Martin,
Maroko,
Monako,
Malediwy,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mozambik,
Mauretania,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Niue,
Holandia,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Polska,
Korea Północna,
Paragwaj,
Palestyna,
Katar,
Reunion,
Rumunia,
Rosja,
Rwanda,
Arabia Saudyjska,
Sudan,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Zambia,
Zimbabwe,
