Kategoria: Wszystko

Kraj,自閉症: (Od 1.01.2004 do 13.10.2023)
Japonia,100
Makau,62
Hongkong,51
Tajwan,42
Singapur,
Australia,1
Malezja,
Kanada,<1
Stany Zjednoczone,<1
Wielka Brytania,<1
Szwecja,
Niemcy,
Francja,
Antarktyda,
Norfolk,
Wyspy Marshalla,
Gwinea Równikowa,
Mariany Północne,
Republika Środkowoafrykańska,
Grenada,
Lesotho,
San Marino,
Monako,
Grenlandia,
Guam,
Timor Wschodni,
Wyspy Owcze,
Wyspa Świętej Heleny,
Malediwy,
Polinezja Francuska,
Nowa Zelandia,
Fidżi,
Chiny,
Kambodża,
Andora,
Mongolia,
Korea Południowa,
Surinam,
Mali,
Mjanma (Birma),
Laos,
Namibia,
Senegal,
Reunion,
Tajlandia,
Zambia,
Haiti,
Brunei,
Paragwaj,
Palestyna,
Szwajcaria,
Madagaskar,
Zjednoczone Emiraty Arabskie,
Gwadelupa,
Kamerun,
Nepal,
Afganistan,
Wietnam,
Malta,
Etiopia,
Estonia,
Kirgistan,
Oman,
Islandia,
Irlandia,
Sudan,
Luksemburg,
Filipiny,
Mauritius,
Jordania,
Holandia,
Bangladesz,
Finlandia,
Austria,
Kostaryka,
Norwegia,
Tanzania,
Sri Lanka,
Indonezja,
Belgia,
Maroko,
Dania,
Kenia,
Albania,
Tunezja,
Salwador,
Boliwia,
Hiszpania,
Honduras,
Cypr,
Jemen,
Mołdawia,
Dominikana,
Pakistan,
Czechy,
Egipt,
Gruzja,
Algieria,
Irak,
Urugwaj,
Węgry,
Azerbejdżan,
Katar,
Włochy,
Słowacja,
Gwatemala,
Grecja,
Uzbekistan,
Republika Południowej Afryki,
Białoruś,
Peru,
Kazachstan,
Bośnia i Hercegowina,
Brazylia,
Ukraina,
Rosja,
Argentyna,
Meksyk,
Chile,
Indie,
Izrael,
Portugalia,
Wenezuela,
Serbia,
Litwa,
Rumunia,
Arabia Saudyjska,
Kolumbia,
Chorwacja,
Polska,
Turcja,
Ekwador,
Bułgaria,
Iran,
Aruba,
Angola,
Anguilla,
Wyspy Alandzkie,
Armenia,
Samoa Amerykańskie,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Burundi,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bahrajn,
Bahamy,
Saint-Barthélemy,
Belize,
Bermudy,
Barbados,
Bhutan,
Wyspa Bouveta,
Botswana,
Wyspy Kokosowe,
Côte d’Ivoire,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Dżibuti,
Dominika,
Erytrea,
Sahara Zachodnia,
Falklandy (Malwiny),
Mikronezja,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gambia,
Gwinea Bissau,
Gujana Francuska,
Gujana,
Wyspy Heard i McDonalda,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Jamajka,
Jersey,
Kiribati,
Saint Kitts i Nevis,
Kuwejt,
Liban,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Łotwa,
Saint-Martin,
Macedonia Północna,
Czarnogóra,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Malawi,
Majotta,
Nowa Kaledonia,
Niger,
Nigeria,
Nikaragua,
Niue,
Nauru,
Panama,
Pitcairn,
Palau,
Papua-Nowa Gwinea,
Portoryko,
Korea Północna,
Rwanda,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Somalia,
Saint-Pierre i Miquelon,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Słowenia,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Togo,
Tadżykistan,
Tokelau,
Turkmenistan,
Tonga,
Trynidad i Tobago,
Tuvalu,
Uganda,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Watykan,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Zimbabwe,
