Kategoria: Wszystko

Kraj,自閉症譜系: (Od 1.01.2004 do 13.10.2023)
Hongkong,100
Georgia Południowa i Sandwich Południowy,
Francuskie Terytoria Południowe i Antarktyczne,
Korea Północna,
Erytrea,
Samoa Amerykańskie,
Majotta,
Czad,
Monako,
Gwinea Równikowa,
Jersey,
Liberia,
Bhutan,
Curaçao,
Makau,
Gabon,
Rwanda,
Somalia,
Zimbabwe,
Turkmenistan,
Kamerun,
Portoryko,
Kenia,
Tajwan,
Estonia,
Boliwia,
Ekwador,
Kostaryka,
Białoruś,
Wenezuela,
Egipt,
Arabia Saudyjska,
Belgia,
Włochy,
Wielka Brytania,
Francja,
Australia,
Indonezja,
Turcja,
Niemcy,
Japonia,
Stany Zjednoczone,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Antarktyda,
Antigua i Barbuda,
Austria,
Azerbejdżan,
Burundi,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Belize,
Bermudy,
Brazylia,
Barbados,
Brunei,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Kuba,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Czechy,
Dżibuti,
Dominika,
Dania,
Dominikana,
Algieria,
Sahara Zachodnia,
Hiszpania,
Etiopia,
Finlandia,
Fidżi,
Falklandy (Malwiny),
Wyspy Owcze,
Mikronezja,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Węgry,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Islandia,
Izrael,
Jamajka,
Jordania,
Kazachstan,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Luksemburg,
Łotwa,
Saint-Martin,
Maroko,
Mołdawia,
Madagaskar,
Malediwy,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Holandia,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Polska,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rumunia,
Rosja,
Sudan,
Senegal,
Singapur,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Togo,
Tajlandia,
Tadżykistan,
Tokelau,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tunezja,
Tuvalu,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
