Kategoria: Wszystko

Kraj,Poruchy autistického spektra: (Od 1.01.2004 do 13.10.2023)
Czechy,100
Norfolk,
Falklandy (Malwiny),
Wyspy Cooka,
Palau,
Seszele,
Samoa Amerykańskie,
Tonga,
Komory,
Turks i Caicos,
Saint-Martin,
Bhutan,
Fidżi,
Andora,
Botswana,
Słowacja,
Afganistan,
Polinezja Francuska,
Togo,
Islandia,
Wyspa Świętej Heleny,
Angola,
Macedonia Północna,
Demokratyczna Republika Konga,
Senegal,
Libia,
Armenia,
Gruzja,
Jemen,
Katar,
Maroko,
Hongkong,
Boliwia,
Litwa,
Białoruś,
Finlandia,
Norwegia,
Pakistan,
Ukraina,
Singapur,
Chile,
Iran,
Polska,
Indonezja,
Japonia,
Aruba,
Anguilla,
Wyspy Alandzkie,
Albania,
Zjednoczone Emiraty Arabskie,
Argentyna,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Austria,
Azerbejdżan,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Belize,
Bermudy,
Brazylia,
Barbados,
Brunei,
Wyspa Bouveta,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chiny,
Côte d’Ivoire,
Kamerun,
Kongo,
Kolumbia,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Niemcy,
Dżibuti,
Dominika,
Dania,
Dominikana,
Algieria,
Ekwador,
Egipt,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Francja,
Wyspy Owcze,
Mikronezja,
Gabon,
Wielka Brytania,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Węgry,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Irak,
Izrael,
Włochy,
Jamajka,
Jersey,
Jordania,
Kazachstan,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Liberia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luksemburg,
Łotwa,
Makau,
Monako,
Mołdawia,
Madagaskar,
Malediwy,
Meksyk,
Wyspy Marshalla,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Nigeria,
Nikaragua,
Niue,
Holandia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Panama,
Pitcairn,
Peru,
Filipiny,
Papua-Nowa Gwinea,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Reunion,
Rumunia,
Rosja,
Rwanda,
Arabia Saudyjska,
Sudan,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Syria,
Czad,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Stany Zjednoczone,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Republika Południowej Afryki,
Zambia,
Zimbabwe,
