Kategoria: Wszystko

Kraj,Autismespectrumstoornis: (Od 1.01.2004 do 13.10.2023)
Belgia,100
Holandia,49
Wyspa Bouveta,
Tokelau,
Norfolk,
Svalbard i Jan Mayen,
Tonga,
Saint-Pierre i Miquelon,
Samoa Amerykańskie,
Komory,
Republika Zielonego Przylądka,
Republika Środkowoafrykańska,
Wyspy Alandzkie,
Turks i Caicos,
Gwinea Równikowa,
Niderlandy Karaibskie,
Saint Vincent i Grenadyny,
Seszele,
Wyspy Owcze,
Kajmany,
Mauretania,
Kongo,
Andora,
Turkmenistan,
Belize,
Bahamy,
Jersey,
Malediwy,
Haiti,
Reunion,
Jemen,
Demokratyczna Republika Konga,
Islandia,
Mozambik,
Uganda,
Jamajka,
Portoryko,
Cypr,
Mołdawia,
Kuwejt,
Maroko,
Kenia,
Jordania,
Chorwacja,
Dominikana,
Tunezja,
Białoruś,
Rumunia,
Finlandia,
Nowa Zelandia,
Ekwador,
Portugalia,
Republika Południowej Afryki,
Tajlandia,
Argentyna,
Wielka Brytania,
Niemcy,
Francja,
Brazylia,
Stany Zjednoczone,
Aruba,
Afganistan,
Angola,
Anguilla,
Albania,
Zjednoczone Emiraty Arabskie,
Armenia,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Austria,
Azerbejdżan,
Burundi,
Benin,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bośnia i Hercegowina,
Saint-Barthélemy,
Bermudy,
Boliwia,
Barbados,
Brunei,
Bhutan,
Botswana,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Wyspy Cooka,
Kolumbia,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Czechy,
Dżibuti,
Dominika,
Dania,
Algieria,
Egipt,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Fidżi,
Falklandy (Malwiny),
Mikronezja,
Gabon,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Węgry,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Izrael,
Włochy,
Japonia,
Kazachstan,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Laos,
Liban,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Luksemburg,
Łotwa,
Makau,
Saint-Martin,
Monako,
Madagaskar,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Nigeria,
Nikaragua,
Niue,
Norwegia,
Nepal,
Nauru,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Polska,
Korea Północna,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Rosja,
Rwanda,
Arabia Saudyjska,
Sudan,
Senegal,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Syria,
Czad,
Togo,
Tadżykistan,
Timor Wschodni,
Trynidad i Tobago,
Turcja,
Tuvalu,
Tajwan,
Tanzania,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Zambia,
Zimbabwe,
