Kategoria: Wszystko

Kraj,Autism spectrum: (Od 1.01.2004 do 13.10.2023)
Eswatini,
Australia,100
Stany Zjednoczone,75
Filipiny,67
Trynidad i Tobago,
Kanada,62
Irlandia,60
Jamajka,
Wielka Brytania,57
Nowa Zelandia,54
Islandia,
Zambia,
Namibia,
Singapur,42
Kenia,39
Republika Południowej Afryki,37
Zimbabwe,
Hongkong,32
Ghana,
Etiopia,
Nigeria,29
Wyspa Świętej Heleny,
Katar,
Pakistan,26
Zjednoczone Emiraty Arabskie,25
Uganda,
Portoryko,
Malezja,21
Cypr,
Nepal,
Sri Lanka,
Liban,
Indie,15
Szwecja,14
Kuwejt,
Bangladesz,12
Izrael,12
Korea Południowa,10
Gruzja,
Grecja,10
Norwegia,10
Finlandia,10
Estonia,
Holandia,9
Łotwa,
Arabia Saudyjska,7
Tajwan,7
Egipt,7
Indonezja,7
Dania,7
Irak,
Mjanma (Birma),
Litwa,
Portugalia,7
Belgia,7
Chorwacja,
Słowenia,
Szwajcaria,6
Rumunia,4
Serbia,
Czechy,
Kostaryka,
Chiny,
Tajlandia,4
Chile,
Słowacja,
Węgry,
Austria,
Iran,3
Dominikana,
Bułgaria,
Hiszpania,3
Włochy,3
Polska,3
Niemcy,3
Wietnam,3
Meksyk,3
Maroko,
Japonia,1
Brazylia,1
Ekwador,
Francja,1
Turcja,1
Kolumbia,
Peru,
Argentyna,
Rosja,1
Ukraina,
Antarktyda,
Falklandy (Malwiny),
Mikronezja,
Montserrat,
Wyspy Marshalla,
Bermudy,
Mariany Północne,
Saint Kitts i Nevis,
Malediwy,
Botswana,
Kajmany,
Turks i Caicos,
Samoa Amerykańskie,
Saint Lucia,
Gujana,
Antigua i Barbuda,
Barbados,
Guam,
Grenada,
Malta,
Guernsey,
Dominika,
Gibraltar,
Bahamy,
Jersey,
Bhutan,
Belize,
Wyspa Man,
Wyspy Alandzkie,
Wyspy Dziewicze Stanów Zjednoczonych,
Wyspy Owcze,
Sint Maarten,
Fidżi,
Niderlandy Karaibskie,
Samoa,
Saint Vincent i Grenadyny,
Brunei,
Curaçao,
Republika Środkowoafrykańska,
Saint-Barthélemy,
Czad,
Malawi,
Papua-Nowa Gwinea,
Rwanda,
Brytyjskie Wyspy Dziewicze,
San Marino,
Lesotho,
Monako,
Aruba,
Makau,
Somalia,
Mauritius,
Gambia,
Bahrajn,
Liberia,
Grenlandia,
Oman,
Tanzania,
Kosowo,
Sierra Leone,
Sudan Południowy,
Andora,
Jordania,
Macedonia Północna,
Republika Zielonego Przylądka,
Luksemburg,
Albania,
Palestyna,
Kambodża,
Sudan,
Nowa Kaledonia,
Libia,
Mongolia,
Afganistan,
Burundi,
Mozambik,
Polinezja Francuska,
Kamerun,
Panama,
Surinam,
Armenia,
Madagaskar,
Jemen,
Nikaragua,
Czarnogóra,
Bośnia i Hercegowina,
Mali,
Honduras,
Syria,
Kongo,
Gwadelupa,
Burkina Faso,
Benin,
Azerbejdżan,
Tunezja,
Mołdawia,
Kuba,
Salwador,
Angola,
Laos,
Senegal,
Algieria,
Gwatemala,
Urugwaj,
Reunion,
Boliwia,
Tadżykistan,
Paragwaj,
Uzbekistan,
Kirgistan,
Haiti,
Kazachstan,
Wenezuela,
Białoruś,
Anguilla,
Francuskie Terytoria Południowe i Antarktyczne,
Wyspa Bouveta,
Wyspy Kokosowe,
Côte d’Ivoire,
Demokratyczna Republika Konga,
Wyspy Cooka,
Komory,
Wyspa Bożego Narodzenia,
Dżibuti,
Erytrea,
Sahara Zachodnia,
Gabon,
Gwinea,
Gwinea Bissau,
Gwinea Równikowa,
Gujana Francuska,
Wyspy Heard i McDonalda,
Brytyjskie Terytorium Oceanu Indyjskiego,
Kiribati,
Liechtenstein,
Saint-Martin,
Mauretania,
Martynika,
Majotta,
Niger,
Norfolk,
Niue,
Nauru,
Pitcairn,
Palau,
Korea Północna,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Wyspy Salomona,
Saint-Pierre i Miquelon,
Wyspy Świętego Tomasza i Książęca,
Seszele,
Togo,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Tuvalu,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Watykan,
Vanuatu,
Wallis i Futuna,
