Kategoria: Wszystko

Kraj,Autism: (Od 1.01.2004 do 13.10.2023)
Irlandia,100
Jersey,
Guernsey,
Wielka Brytania,84
Palau,
Wyspa Man,
Australia,79
Stany Zjednoczone,77
Eswatini,
Mariany Północne,
Malediwy,
Malta,
Wyspy Cooka,
Gibraltar,
Kanada,64
Szwecja,63
Guam,
Kajmany,
Wyspy Alandzkie,
Nowa Zelandia,54
Bermudy,
Jamajka,
Brytyjskie Wyspy Dziewicze,
Turks i Caicos,
Wyspy Dziewicze Stanów Zjednoczonych,
Botswana,
Trynidad i Tobago,
Brunei,
Singapur,48
Saint Kitts i Nevis,
Belize,
Barbados,
Antigua i Barbuda,
Gujana,
Lesotho,
Dominika,
Kenia,42
Seszele,
Bahamy,
Saint Vincent i Grenadyny,
Republika Południowej Afryki,40
Grenada,
Saint Lucia,
Tonga,
Sint Maarten,
Filipiny,38
Islandia,
Ghana,
Zjednoczone Emiraty Arabskie,36
Bhutan,
Wyspy Owcze,
Aruba,
Zambia,
Fidżi,
Namibia,
Zimbabwe,
Anguilla,
Nigeria,31
Niderlandy Karaibskie,
Curaçao,
Malezja,29
Rumunia,29
Malawi,
Katar,
Liban,
Nepal,
Mauritius,
Wyspa Świętej Heleny,
Somalia,
Gambia,
Bahrajn,
Etiopia,
Portoryko,
Uganda,
Pakistan,22
Rwanda,
Hongkong,20
Cypr,
Sri Lanka,
Estonia,
Albania,
Kosowo,
Kuwejt,
Tanzania,
Papua-Nowa Gwinea,
Macedonia Północna,
Sierra Leone,
Norwegia,15
Mołdawia,
Oman,
Indie,13
Mongolia,
Bangladesz,13
Liberia,
Mjanma (Birma),
Makau,
Kambodża,
Surinam,
Jordania,
Dania,10
Finlandia,10
Izrael,10
Sudan Południowy,
Kamerun,
Grecja,9
Holandia,9
Gruzja,
Luksemburg,
Arabia Saudyjska,8
Palestyna,
Łotwa,
Republika Zielonego Przylądka,
Słowenia,
Egipt,7
Chorwacja,
Afganistan,
Litwa,
Korea Południowa,7
Laos,
Sudan,
Belgia,6
Irak,
Serbia,
Szwajcaria,6
Portugalia,
Czarnogóra,
Armenia,
Gwinea Równikowa,
Libia,
Bośnia i Hercegowina,
Bułgaria,
Panama,
Azerbejdżan,
Czechy,
Kostaryka,
Togo,
Haiti,
Indonezja,4
Węgry,
Tunezja,
Austria,
Tajwan,4
Słowacja,
Dominikana,
Mozambik,
Madagaskar,
Syria,
Maroko,
Wietnam,3
Honduras,
Nikaragua,
Angola,
Niemcy,3
Jemen,
Benin,
Tajlandia,3
Polska,3
Włochy,3
Hiszpania,2
Iran,
Algieria,
Chile,
Kuba,
Senegal,
Kirgistan,
Niger,
Meksyk,2
Chiny,
Nowa Kaledonia,
Francja,2
Gwatemala,
Salwador,
Urugwaj,
Uzbekistan,
Boliwia,
Paragwaj,
Brazylia,2
Argentyna,
Ekwador,
Demokratyczna Republika Konga,
Mali,
Turcja,1
Kazachstan,
Rosja,1
Côte d’Ivoire,
Peru,
Kolumbia,
Japonia,1
Wenezuela,
Ukraina,
Białoruś,
Burkina Faso,
Antarktyda,
Wallis i Futuna,
Wyspa Bożego Narodzenia,
Korea Północna,
Norfolk,
Samoa Amerykańskie,
Wyspy Marshalla,
Falklandy (Malwiny),
Kiribati,
Mikronezja,
Erytrea,
Samoa,
Wyspy Salomona,
Montserrat,
Vanuatu,
Grenlandia,
Saint-Martin,
Saint-Pierre i Miquelon,
Monako,
Timor Wschodni,
Dżibuti,
Sahara Zachodnia,
Burundi,
Liechtenstein,
Andora,
San Marino,
Saint-Barthélemy,
Mauretania,
Polinezja Francuska,
Gabon,
Gwadelupa,
Reunion,
Gujana Francuska,
Turkmenistan,
Kongo,
Tadżykistan,
Gwinea,
Martynika,
Majotta,
Czad,
Francuskie Terytoria Południowe i Antarktyczne,
Wyspa Bouveta,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Komory,
Gwinea Bissau,
Wyspy Heard i McDonalda,
Brytyjskie Terytorium Oceanu Indyjskiego,
Niue,
Nauru,
Pitcairn,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Wyspy Świętego Tomasza i Książęca,
Tokelau,
Tuvalu,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Watykan,
