Kategoria: Wszystko

Kraj,Autismikirjo: (Od 1.01.2004 do 13.10.2023)
Finlandia,100
Watykan,
Niue,
Wyspa Bożego Narodzenia,
Korea Północna,
Brytyjskie Terytorium Oceanu Indyjskiego,
Falklandy (Malwiny),
Kiribati,
Wyspy Marshalla,
Montserrat,
Tonga,
Vanuatu,
Wyspy Salomona,
Eswatini,
Sierra Leone,
Liechtenstein,
Wyspy Owcze,
Kajmany,
Bermudy,
Gabon,
Mali,
Somalia,
Madagaskar,
Botswana,
Wyspa Świętej Heleny,
Kamerun,
Mozambik,
Makau,
Jemen,
Côte d’Ivoire,
Kostaryka,
Mjanma (Birma),
Honduras,
Paragwaj,
Portoryko,
Słowenia,
Kenia,
Dominikana,
Wenezuela,
Zjednoczone Emiraty Arabskie,
Portugalia,
Kazachstan,
Szwajcaria,
Hongkong,
Chiny,
Singapur,
Irlandia,
Filipiny,
Rosja,
Republika Południowej Afryki,
Rumunia,
Tajwan,
Kolumbia,
Turcja,
Włochy,
Australia,
Wielka Brytania,
Japonia,
Niemcy,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Austria,
Azerbejdżan,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Chile,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Kuba,
Curaçao,
Cypr,
Czechy,
Dżibuti,
Dominika,
Dania,
Algieria,
Ekwador,
Egipt,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Fidżi,
Francja,
Mikronezja,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Wyspy Heard i McDonalda,
Chorwacja,
Haiti,
Węgry,
Indonezja,
Wyspa Man,
Indie,
Iran,
Irak,
Islandia,
Izrael,
Jamajka,
Jersey,
Jordania,
Kirgistan,
Kambodża,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Liberia,
Libia,
Saint Lucia,
Sri Lanka,
Lesotho,
Litwa,
Luksemburg,
Łotwa,
Saint-Martin,
Maroko,
Monako,
Mołdawia,
Malediwy,
Meksyk,
Macedonia Północna,
Malta,
Czarnogóra,
Mongolia,
Mariany Północne,
Mauretania,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Holandia,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Palau,
Papua-Nowa Gwinea,
Polska,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rwanda,
Arabia Saudyjska,
Sudan,
Senegal,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Salwador,
San Marino,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Szwecja,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Togo,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Trynidad i Tobago,
Tunezja,
Tuvalu,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Stany Zjednoczone,
Uzbekistan,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Wallis i Futuna,
Samoa,
Kosowo,
Zambia,
Zimbabwe,
