Kategoria: Wszystko

Kraj,trouble du spectre autistique: (Od 1.01.2004 do 13.10.2023)
Francja,100
Szwajcaria,49
Algieria,48
Belgia,44
Kanada,22
Wyspa Bouveta,
Watykan,
Saint-Pierre i Miquelon,
Tonga,
Anguilla,
Gibraltar,
Mariany Północne,
Turks i Caicos,
Bermudy,
Grenlandia,
Dżibuti,
Antigua i Barbuda,
Polinezja Francuska,
Gambia,
Lesotho,
Bhutan,
Reunion,
Gujana Francuska,
Martynika,
Kongo,
Tadżykistan,
Togo,
Rwanda,
Fidżi,
Surinam,
Gwadelupa,
Haiti,
Senegal,
Luksemburg,
Zimbabwe,
Kamerun,
Côte d’Ivoire,
Madagaskar,
Maroko,
Tunezja,
Liban,
Bahrajn,
Honduras,
Nepal,
Ghana,
Jemen,
Chorwacja,
Tanzania,
Kuwejt,
Singapur,
Dominikana,
Izrael,
Rumunia,
Kazachstan,
Hiszpania,
Wielka Brytania,
Stany Zjednoczone,
Aruba,
Afganistan,
Angola,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Australia,
Austria,
Azerbejdżan,
Burundi,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Boliwia,
Brazylia,
Barbados,
Brunei,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Chile,
Chiny,
Demokratyczna Republika Konga,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Czechy,
Niemcy,
Dominika,
Dania,
Ekwador,
Egipt,
Erytrea,
Sahara Zachodnia,
Estonia,
Etiopia,
Finlandia,
Falklandy (Malwiny),
Wyspy Owcze,
Mikronezja,
Gabon,
Gruzja,
Guernsey,
Gwinea,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Gwatemala,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Węgry,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Islandia,
Włochy,
Jamajka,
Jersey,
Jordania,
Japonia,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Laos,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Litwa,
Łotwa,
Makau,
Saint-Martin,
Monako,
Mołdawia,
Malediwy,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mozambik,
Mauretania,
Montserrat,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Holandia,
Norwegia,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Polska,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Katar,
Rosja,
Arabia Saudyjska,
Sudan,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Słowacja,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Czad,
Tajlandia,
Tokelau,
Turkmenistan,
Timor Wschodni,
Trynidad i Tobago,
Turcja,
Tuvalu,
Tajwan,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Republika Południowej Afryki,
Zambia,
