Kategoria: Wszystko

Kraj,Autismus: (Od 1.01.2004 do 13.10.2023)
Niemcy,100
Austria,85
Szwajcaria,78
Czechy,75
Luksemburg,38
Kosowo,
Słowacja,4
Wyspa Świętej Heleny,
Chorwacja,
Bośnia i Hercegowina,
Belgia,1
Holandia,1
Dania,
Grecja,
Węgry,
Włochy,1
Szwecja,
Izrael,
Serbia,
Irlandia,
Portugalia,
Hiszpania,<1
Egipt,
Litwa,
Wielka Brytania,<1
Francja,<1
Turcja,<1
Polska,
Tajlandia,
Wietnam,
Korea Południowa,
Republika Południowej Afryki,
Australia,
Rosja,
Kanada,
Stany Zjednoczone,<1
Ukraina,
Tajwan,
Meksyk,
Indonezja,
Indie,
Brazylia,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Watykan,
Niue,
Tuvalu,
Wallis i Futuna,
Montserrat,
Liechtenstein,
Wyspy Marshalla,
Anguilla,
Republika Zielonego Przylądka,
Turks i Caicos,
Curaçao,
Grenlandia,
Namibia,
Wyspy Dziewicze Stanów Zjednoczonych,
Antigua i Barbuda,
Gambia,
Wyspa Man,
Kajmany,
Islandia,
Palestyna,
Cypr,
Czad,
Macedonia Północna,
Czarnogóra,
Liberia,
Albania,
Malta,
Somalia,
Laos,
Słowenia,
Gwinea,
Botswana,
Malediwy,
Norwegia,
Paragwaj,
Mongolia,
Gruzja,
Trynidad i Tobago,
Bułgaria,
Benin,
Etiopia,
Łotwa,
Mauritius,
Zambia,
Reunion,
Estonia,
Zjednoczone Emiraty Arabskie,
Liban,
Finlandia,
Rwanda,
Tunezja,
Kambodża,
Mołdawia,
Rumunia,
Jemen,
Armenia,
Demokratyczna Republika Konga,
Katar,
Tanzania,
Brunei,
Nowa Zelandia,
Irak,
Dominikana,
Maroko,
Nepal,
Azerbejdżan,
Kirgistan,
Oman,
Kuwejt,
Panama,
Portoryko,
Angola,
Sri Lanka,
Singapur,
Jordania,
Hongkong,
Białoruś,
Mjanma (Birma),
Honduras,
Salwador,
Uzbekistan,
Kostaryka,
Senegal,
Kenia,
Libia,
Ghana,
Côte d’Ivoire,
Pakistan,
Kazachstan,
Syria,
Malezja,
Ekwador,
Nikaragua,
Filipiny,
Wenezuela,
Bangladesz,
Arabia Saudyjska,
Algieria,
Chiny,
Kolumbia,
Peru,
Chile,
Nigeria,
Boliwia,
Argentyna,
Iran,
Gwatemala,
Japonia,
Aruba,
Afganistan,
Wyspy Alandzkie,
Andora,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Burundi,
Niderlandy Karaibskie,
Burkina Faso,
Bahrajn,
Bahamy,
Saint-Barthélemy,
Belize,
Bermudy,
Barbados,
Bhutan,
Wyspa Bouveta,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Kamerun,
Kongo,
Wyspy Cooka,
Komory,
Kuba,
Wyspa Bożego Narodzenia,
Dżibuti,
Dominika,
Erytrea,
Sahara Zachodnia,
Fidżi,
Falklandy (Malwiny),
Wyspy Owcze,
Mikronezja,
Gabon,
Guernsey,
Gibraltar,
Gwadelupa,
Gwinea Bissau,
Gwinea Równikowa,
Grenada,
Gujana Francuska,
Guam,
Gujana,
Wyspy Heard i McDonalda,
Haiti,
Brytyjskie Terytorium Oceanu Indyjskiego,
Jamajka,
Jersey,
Kiribati,
Saint Kitts i Nevis,
Saint Lucia,
Lesotho,
Makau,
Saint-Martin,
Monako,
Madagaskar,
Mali,
Mariany Północne,
Mozambik,
Mauretania,
Martynika,
Malawi,
Majotta,
Nowa Kaledonia,
Niger,
Norfolk,
Nauru,
Pitcairn,
Palau,
Papua-Nowa Gwinea,
Korea Północna,
Polinezja Francuska,
Sudan,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
San Marino,
Saint-Pierre i Miquelon,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Eswatini,
Sint Maarten,
Seszele,
Togo,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Uganda,
Urugwaj,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Vanuatu,
Samoa,
Zimbabwe,
