Kategoria: Wszystko

Kraj,אוטיזם: (Od 1.01.2004 do 13.10.2023)
Izrael,100
Palestyna,15
Wyspa Świętej Heleny,
Korea Południowa,
Kanada,<1
Stany Zjednoczone,<1
Wielka Brytania,<1
Rosja,
Watykan,
Wyspa Bożego Narodzenia,
Svalbard i Jan Mayen,
Falklandy (Malwiny),
Grenlandia,
Tonga,
Brytyjskie Wyspy Dziewicze,
Niderlandy Karaibskie,
Republika Środkowoafrykańska,
Mariany Północne,
Eswatini,
Gujana Francuska,
Wyspy Dziewicze Stanów Zjednoczonych,
Antigua i Barbuda,
Papua-Nowa Gwinea,
Gambia,
Polinezja Francuska,
Niger,
Burkina Faso,
Togo,
Namibia,
Laos,
Zimbabwe,
Islandia,
Kamerun,
Mozambik,
Jordania,
Trynidad i Tobago,
Etiopia,
Bahrajn,
Luksemburg,
Kambodża,
Libia,
Mołdawia,
Uzbekistan,
Oman,
Tanzania,
Kenia,
Białoruś,
Katar,
Dominikana,
Nepal,
Gwatemala,
Bułgaria,
Węgry,
Panama,
Kazachstan,
Ekwador,
Austria,
Belgia,
Boliwia,
Singapur,
Grecja,
Finlandia,
Egipt,
Holandia,
Wietnam,
Szwajcaria,
Nowa Zelandia,
Ukraina,
Dania,
Republika Południowej Afryki,
Norwegia,
Hongkong,
Tajwan,
Australia,
Serbia,
Irlandia,
Tajlandia,
Portugalia,
Zjednoczone Emiraty Arabskie,
Niemcy,
Arabia Saudyjska,
Czechy,
Indonezja,
Kolumbia,
Hiszpania,
Rumunia,
Chile,
Francja,
Malezja,
Meksyk,
Włochy,
Szwecja,
Polska,
Indie,
Brazylia,
Argentyna,
Turcja,
Japonia,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Azerbejdżan,
Burundi,
Benin,
Bangladesz,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Belize,
Bermudy,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Wyspy Kokosowe,
Chiny,
Côte d’Ivoire,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Kajmany,
Cypr,
Dżibuti,
Dominika,
Algieria,
Erytrea,
Sahara Zachodnia,
Estonia,
Fidżi,
Wyspy Owcze,
Mikronezja,
Gabon,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gwinea Bissau,
Gwinea Równikowa,
Grenada,
Guam,
Gujana,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Iran,
Irak,
Jamajka,
Jersey,
Kirgistan,
Kiribati,
Saint Kitts i Nevis,
Kuwejt,
Liban,
Liberia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Łotwa,
Makau,
Saint-Martin,
Maroko,
Monako,
Madagaskar,
Malediwy,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malawi,
Majotta,
Nowa Kaledonia,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Nauru,
Pakistan,
Pitcairn,
Peru,
Filipiny,
Palau,
Portoryko,
Korea Północna,
Paragwaj,
Reunion,
Rwanda,
Sudan,
Senegal,
Georgia Południowa i Sandwich Południowy,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Słowenia,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tunezja,
Tuvalu,
Uganda,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Saint Vincent i Grenadyny,
Wenezuela,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Zambia,
