Kategoria: Wszystko

Kraj,Gangguan spektrum autisme: (Od 1.01.2004 do 13.10.2023)
Indonezja,100
Niue,
Falklandy (Malwiny),
Wyspy Marshalla,
Montserrat,
Saint-Martin,
Wyspy Salomona,
Czad,
Monako,
Republika Zielonego Przylądka,
Sudan Południowy,
Grenada,
Gambia,
Wyspa Man,
Curaçao,
Liberia,
Niger,
Sierra Leone,
Kajmany,
Gujana,
Gabon,
Laos,
Reunion,
Słowenia,
Salwador,
Liban,
Tanzania,
Bośnia i Hercegowina,
Uganda,
Nepal,
Dominikana,
Malezja,
Maroko,
Kenia,
Algieria,
Zjednoczone Emiraty Arabskie,
Wenezuela,
Egipt,
Szwecja,
Kanada,
Turcja,
Indie,
Stany Zjednoczone,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Austria,
Azerbejdżan,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Saint-Barthélemy,
Białoruś,
Belize,
Bermudy,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Kostaryka,
Kuba,
Wyspa Bożego Narodzenia,
Cypr,
Czechy,
Niemcy,
Dżibuti,
Dominika,
Dania,
Ekwador,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Finlandia,
Fidżi,
Francja,
Wyspy Owcze,
Mikronezja,
Wielka Brytania,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Węgry,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Islandia,
Izrael,
Włochy,
Jamajka,
Jersey,
Jordania,
Japonia,
Kazachstan,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Luksemburg,
Łotwa,
Makau,
Mołdawia,
Madagaskar,
Malediwy,
Meksyk,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Martynika,
Mauritius,
Malawi,
Majotta,
Namibia,
Nowa Kaledonia,
Norfolk,
Nigeria,
Nikaragua,
Holandia,
Norwegia,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Polska,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Rumunia,
Rosja,
Rwanda,
Arabia Saudyjska,
Sudan,
Senegal,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Togo,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tunezja,
Tuvalu,
Tajwan,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
Zimbabwe,
