Kategoria: Wszystko

Kraj,自閉症スペクトラム障害: (Od 1.01.2004 do 13.10.2023)
Japonia,100
Niue,
Saint-Pierre i Miquelon,
Komory,
Tonga,
Mariany Północne,
Niderlandy Karaibskie,
Republika Zielonego Przylądka,
Guernsey,
Malawi,
Niger,
Kajmany,
Bermudy,
Kongo,
Islandia,
Turkmenistan,
Somalia,
Papua-Nowa Gwinea,
Wyspa Świętej Heleny,
Malediwy,
Rwanda,
Malta,
Kamerun,
Martynika,
Afganistan,
Kuba,
Czarnogóra,
Kambodża,
Macedonia Północna,
Honduras,
Singapur,
Słowacja,
Korea Południowa,
Białoruś,
Maroko,
Czechy,
Irlandia,
Bangladesz,
Belgia,
Australia,
Arabia Saudyjska,
Tajwan,
Izrael,
Peru,
Pakistan,
Kolumbia,
Rumunia,
Kanada,
Tajlandia,
Wietnam,
Holandia,
Stany Zjednoczone,
Indonezja,
Niemcy,
Włochy,
Polska,
Francja,
Argentyna,
Indie,
Brazylia,
Wielka Brytania,
Aruba,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Austria,
Azerbejdżan,
Burundi,
Benin,
Burkina Faso,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Belize,
Boliwia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Demokratyczna Republika Konga,
Wyspy Cooka,
Kostaryka,
Curaçao,
Wyspa Bożego Narodzenia,
Cypr,
Dżibuti,
Dominika,
Dania,
Dominikana,
Algieria,
Ekwador,
Egipt,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Finlandia,
Fidżi,
Falklandy (Malwiny),
Wyspy Owcze,
Mikronezja,
Gabon,
Gruzja,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Chorwacja,
Haiti,
Węgry,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Iran,
Irak,
Jamajka,
Jersey,
Jordania,
Kazachstan,
Kenia,
Kirgistan,
Kiribati,
Saint Kitts i Nevis,
Kuwejt,
Laos,
Liban,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Luksemburg,
Łotwa,
Makau,
Saint-Martin,
Monako,
Mołdawia,
Madagaskar,
Meksyk,
Wyspy Marshalla,
Mali,
Mjanma (Birma),
Mongolia,
Mozambik,
Mauretania,
Montserrat,
Mauritius,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Norfolk,
Nigeria,
Nikaragua,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Panama,
Pitcairn,
Filipiny,
Palau,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rosja,
Sudan,
Senegal,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Togo,
Tadżykistan,
Tokelau,
Timor Wschodni,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
Zimbabwe,
