Kategoria: Wszystko

Kraj,자폐 스펙트럼: (Od 1.01.2004 do 13.10.2023)
Korea Południowa,100
Kanada,<1
Stany Zjednoczone,<1
Japonia,<1
Korea Północna,
Norfolk,
Kiribati,
Palau,
Mikronezja,
Turks i Caicos,
Vanuatu,
Majotta,
Monako,
Wyspy Dziewicze Stanów Zjednoczonych,
Gwadelupa,
Wyspa Man,
Burundi,
Mauretania,
Niger,
Gabon,
Makau,
Togo,
Malediwy,
Laos,
Bahamy,
Angola,
Albania,
Macedonia Północna,
Côte d’Ivoire,
Luksemburg,
Islandia,
Zambia,
Mongolia,
Nepal,
Armenia,
Jemen,
Gruzja,
Sudan,
Kuwejt,
Honduras,
Paragwaj,
Nowa Zelandia,
Panama,
Białoruś,
Maroko,
Finlandia,
Kenia,
Singapur,
Dania,
Chiny,
Hongkong,
Australia,
Tajwan,
Ekwador,
Czechy,
Grecja,
Norwegia,
Filipiny,
Pakistan,
Wenezuela,
Egipt,
Rumunia,
Rosja,
Iran,
Wietnam,
Polska,
Wielka Brytania,
Indonezja,
Niemcy,
Aruba,
Afganistan,
Anguilla,
Wyspy Alandzkie,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Austria,
Azerbejdżan,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bośnia i Hercegowina,
Saint-Barthélemy,
Belize,
Bermudy,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Dżibuti,
Dominika,
Dominikana,
Algieria,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Fidżi,
Falklandy (Malwiny),
Francja,
Wyspy Owcze,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Wyspy Heard i McDonalda,
Chorwacja,
Haiti,
Węgry,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Irak,
Izrael,
Włochy,
Jamajka,
Jersey,
Jordania,
Kazachstan,
Kirgistan,
Kambodża,
Saint Kitts i Nevis,
Liban,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Łotwa,
Saint-Martin,
Mołdawia,
Madagaskar,
Meksyk,
Wyspy Marshalla,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mariany Północne,
Mozambik,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Namibia,
Nowa Kaledonia,
Nigeria,
Nikaragua,
Niue,
Holandia,
Nauru,
Oman,
Pitcairn,
Peru,
Papua-Nowa Gwinea,
Portoryko,
Portugalia,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rwanda,
Arabia Saudyjska,
Senegal,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Czad,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Wallis i Futuna,
Samoa,
Kosowo,
Republika Południowej Afryki,
Zimbabwe,
