Kategoria: Wszystko

Kraj,자폐: (Od 1.01.2004 do 13.10.2023)
Korea Południowa,100
Nowa Zelandia,1
Australia,<1
Kanada,<1
Stany Zjednoczone,<1
Japonia,<1
Wietnam,<1
Niemcy,<1
Wielka Brytania,<1
Wyspy Heard i McDonalda,
Tuvalu,
Montserrat,
Republika Środkowoafrykańska,
Niderlandy Karaibskie,
Saint-Pierre i Miquelon,
Mikronezja,
Tonga,
Samoa,
Sahara Zachodnia,
Sudan Południowy,
Seszele,
Liechtenstein,
Gujana,
Tadżykistan,
Trynidad i Tobago,
Etiopia,
Laos,
Angola,
Singapur,
Kambodża,
Mjanma (Birma),
Sri Lanka,
Azerbejdżan,
Panama,
Hongkong,
Sudan,
Ghana,
Ekwador,
Słowacja,
Boliwia,
Filipiny,
Zjednoczone Emiraty Arabskie,
Malezja,
Szwecja,
Finlandia,
Szwajcaria,
Dania,
Bangladesz,
Chiny,
Pakistan,
Irlandia,
Tajwan,
Wenezuela,
Chile,
Indonezja,
Francja,
Holandia,
Argentyna,
Turcja,
Włochy,
Rosja,
Meksyk,
Brazylia,
Aruba,
Afganistan,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Austria,
Burundi,
Belgia,
Benin,
Burkina Faso,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Bermudy,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Wyspy Kokosowe,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Czechy,
Dżibuti,
Dominika,
Dominikana,
Algieria,
Egipt,
Erytrea,
Hiszpania,
Estonia,
Fidżi,
Falklandy (Malwiny),
Wyspy Owcze,
Gabon,
Gruzja,
Guernsey,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Honduras,
Chorwacja,
Haiti,
Węgry,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Iran,
Irak,
Islandia,
Izrael,
Jamajka,
Jersey,
Jordania,
Kazachstan,
Kenia,
Kirgistan,
Kiribati,
Saint Kitts i Nevis,
Kuwejt,
Liban,
Liberia,
Libia,
Saint Lucia,
Lesotho,
Litwa,
Luksemburg,
Łotwa,
Makau,
Saint-Martin,
Maroko,
Monako,
Mołdawia,
Madagaskar,
Malediwy,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Martynika,
Mauritius,
Malawi,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Norwegia,
Nepal,
Nauru,
Oman,
Pitcairn,
Peru,
Palau,
Papua-Nowa Gwinea,
Polska,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rumunia,
Rwanda,
Arabia Saudyjska,
Senegal,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Serbia,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowenia,
Eswatini,
Sint Maarten,
Syria,
Turks i Caicos,
Czad,
Togo,
Tajlandia,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tunezja,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Vanuatu,
Wallis i Futuna,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
Zimbabwe,
