Kategoria: Wszystko

Kraj,Spektar autizma: (Od 1.01.2004 do 13.10.2023)
Chorwacja,100
Niue,
Kiribati,
Erytrea,
Komory,
Saint Kitts i Nevis,
Timor Wschodni,
Wyspy Owcze,
Liberia,
Kajmany,
Somalia,
Saint Vincent i Grenadyny,
Malediwy,
Papua-Nowa Gwinea,
Nowa Kaledonia,
Saint Lucia,
Gabon,
Jersey,
Wyspa Man,
Malawi,
Angola,
Bahamy,
Rwanda,
Afganistan,
Cypr,
Demokratyczna Republika Konga,
Tadżykistan,
Bośnia i Hercegowina,
Tanzania,
Serbia,
Luksemburg,
Palestyna,
Białoruś,
Litwa,
Słowenia,
Bułgaria,
Austria,
Algieria,
Szwecja,
Malezja,
Singapur,
Izrael,
Polska,
Rumunia,
Holandia,
Niemcy,
Indonezja,
Aruba,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Azerbejdżan,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bahrajn,
Saint-Barthélemy,
Belize,
Bermudy,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Kongo,
Wyspy Cooka,
Kolumbia,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Czechy,
Dżibuti,
Dominika,
Dania,
Dominikana,
Ekwador,
Egipt,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Finlandia,
Fidżi,
Falklandy (Malwiny),
Francja,
Mikronezja,
Wielka Brytania,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Haiti,
Węgry,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Islandia,
Włochy,
Jamajka,
Jordania,
Japonia,
Kazachstan,
Kenia,
Kirgistan,
Kambodża,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Libia,
Liechtenstein,
Sri Lanka,
Lesotho,
Łotwa,
Makau,
Saint-Martin,
Maroko,
Monako,
Mołdawia,
Madagaskar,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Majotta,
Namibia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Polinezja Francuska,
Katar,
Reunion,
Rosja,
Arabia Saudyjska,
Sudan,
Senegal,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Saint-Pierre i Miquelon,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Togo,
Tajlandia,
Tokelau,
Turkmenistan,
Tonga,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tajwan,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Stany Zjednoczone,
Uzbekistan,
Watykan,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
Zimbabwe,
