Kategoria: Wszystko

Kraj,Autismespekterforstyrrelser: (Od 1.01.2004 do 13.10.2023)
Norwegia,100
Watykan,
Korea Północna,
Wyspy Marshalla,
Palau,
Erytrea,
Samoa Amerykańskie,
Saint Kitts i Nevis,
Seszele,
Kongo,
Grenlandia,
Wyspy Alandzkie,
Andora,
Saint-Barthélemy,
Sahara Zachodnia,
Saint Vincent i Grenadyny,
Lesotho,
Liberia,
Bermudy,
Kajmany,
Sierra Leone,
Polinezja Francuska,
Togo,
Albania,
Mongolia,
Palestyna,
Kuba,
Kambodża,
Estonia,
Mauritius,
Zimbabwe,
Syria,
Mjanma (Birma),
Łotwa,
Oman,
Jordania,
Uzbekistan,
Chorwacja,
Kuwejt,
Ekwador,
Maroko,
Nowa Zelandia,
Singapur,
Republika Południowej Afryki,
Dania,
Peru,
Korea Południowa,
Egipt,
Tajlandia,
Wielka Brytania,
Japonia,
Aruba,
Afganistan,
Angola,
Anguilla,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Austria,
Azerbejdżan,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Białoruś,
Belize,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Curaçao,
Wyspa Bożego Narodzenia,
Cypr,
Czechy,
Niemcy,
Dżibuti,
Dominika,
Dominikana,
Algieria,
Hiszpania,
Etiopia,
Finlandia,
Fidżi,
Falklandy (Malwiny),
Francja,
Wyspy Owcze,
Mikronezja,
Gabon,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Haiti,
Węgry,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Islandia,
Izrael,
Włochy,
Jamajka,
Jersey,
Kazachstan,
Kenia,
Kirgistan,
Kiribati,
Laos,
Liban,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Litwa,
Luksemburg,
Makau,
Saint-Martin,
Monako,
Mołdawia,
Madagaskar,
Malediwy,
Meksyk,
Macedonia Północna,
Mali,
Malta,
Czarnogóra,
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Holandia,
Nepal,
Nauru,
Pakistan,
Panama,
Pitcairn,
Filipiny,
Papua-Nowa Gwinea,
Polska,
Portoryko,
Portugalia,
Paragwaj,
Katar,
Reunion,
Rumunia,
Rosja,
Rwanda,
Arabia Saudyjska,
Sudan,
Senegal,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Salwador,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Turks i Caicos,
Czad,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Stany Zjednoczone,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Zambia,
