Kategoria: Wszystko

Kraj,طیف اوتیسم: (Od 1.01.2004 do 13.10.2023)
Iran,100
Wyspy Marshalla,
Samoa Amerykańskie,
Saint-Pierre i Miquelon,
Wyspy Salomona,
Mariany Północne,
Wyspy Owcze,
Monako,
Dżibuti,
Czad,
Gujana,
Nowa Kaledonia,
Liberia,
Gwinea,
Benin,
Gabon,
Surinam,
Malawi,
Bahamy,
Libia,
Luksemburg,
Côte d’Ivoire,
Nikaragua,
Chorwacja,
Uzbekistan,
Katar,
Nepal,
Algieria,
Serbia,
Irak,
Izrael,
Peru,
Nowa Zelandia,
Arabia Saudyjska,
Kolumbia,
Ukraina,
Malezja,
Filipiny,
Turcja,
Meksyk,
Holandia,
Polska,
Francja,
Włochy,
Niemcy,
Stany Zjednoczone,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Austria,
Azerbejdżan,
Burundi,
Belgia,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Bermudy,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Czechy,
Dominika,
Dania,
Dominikana,
Ekwador,
Egipt,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Finlandia,
Fidżi,
Falklandy (Malwiny),
Mikronezja,
Wielka Brytania,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Haiti,
Węgry,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Islandia,
Jamajka,
Jersey,
Jordania,
Japonia,
Kazachstan,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Łotwa,
Makau,
Saint-Martin,
Maroko,
Mołdawia,
Madagaskar,
Malediwy,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Majotta,
Namibia,
Niger,
Norfolk,
Nigeria,
Niue,
Norwegia,
Nauru,
Oman,
Pakistan,
Panama,
Pitcairn,
Palau,
Papua-Nowa Gwinea,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Reunion,
Rumunia,
Rosja,
Rwanda,
Sudan,
Senegal,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Słowacja,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Togo,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tunezja,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
Zimbabwe,
