Kategoria: Wszystko

Kraj,Spektrum autyzmu: (Od 1.01.2004 do 13.10.2023)
Polska,100
Tonga,
Komory,
Wyspy Dziewicze Stanów Zjednoczonych,
Samoa,
Vanuatu,
Timor Wschodni,
Sahara Zachodnia,
Sint Maarten,
Eswatini,
Saint Vincent i Grenadyny,
Saint Lucia,
Gambia,
Curaçao,
Polinezja Francuska,
Islandia,
Fidżi,
Tadżykistan,
Surinam,
Angola,
Haiti,
Etiopia,
Luksemburg,
Zambia,
Senegal,
Irlandia,
Liban,
Syria,
Bahrajn,
Norwegia,
Côte d’Ivoire,
Czechy,
Uzbekistan,
Wielka Brytania,
Belgia,
Holandia,
Niemcy,
Szwecja,
Dania,
Hongkong,
Szwajcaria,
Bułgaria,
Maroko,
Wietnam,
Węgry,
Algieria,
Izrael,
Bangladesz,
Włochy,
Grecja,
Austria,
Egipt,
Hiszpania,
Tajlandia,
Indonezja,
Kanada,
Francja,
Meksyk,
Australia,
Stany Zjednoczone,
Turcja,
Indie,
Aruba,
Afganistan,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Azerbejdżan,
Burundi,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Bermudy,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Chile,
Chiny,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Dżibuti,
Dominika,
Dominikana,
Ekwador,
Erytrea,
Estonia,
Finlandia,
Falklandy (Malwiny),
Wyspy Owcze,
Mikronezja,
Gabon,
Gruzja,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwadelupa,
Gwinea Bissau,
Gwinea Równikowa,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Iran,
Irak,
Jamajka,
Jersey,
Jordania,
Japonia,
Kazachstan,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liberia,
Libia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Łotwa,
Makau,
Saint-Martin,
Monako,
Mołdawia,
Madagaskar,
Malediwy,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Katar,
Reunion,
Rumunia,
Rosja,
Rwanda,
Arabia Saudyjska,
Sudan,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Słowacja,
Słowenia,
Seszele,
Turks i Caicos,
Czad,
Togo,
Tokelau,
Turkmenistan,
Trynidad i Tobago,
Tunezja,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Watykan,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wallis i Futuna,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zimbabwe,
