Kategoria: Wszystko

Kraj,autyzm: (Od 1.01.2004 do 13.10.2023)
Polska,100
Irlandia,3
Norwegia,2
Wielka Brytania,1
Wyspa Świętej Heleny,
Holandia,1
Szwecja,1
Niemcy,1
Belgia,1
Austria,<1
Szwajcaria,
Czechy,
Chorwacja,
Węgry,
Wietnam,
Włochy,<1
Hiszpania,<1
Kanada,<1
Francja,<1
Stany Zjednoczone,<1
Ukraina,
Indonezja,
Białoruś,
Egipt,
Tajlandia,
Wenezuela,
Rumunia,
Rosja,
Pakistan,
Indie,
Argentyna,
Brazylia,
Falklandy (Malwiny),
Erytrea,
Wyspy Marshalla,
Niderlandy Karaibskie,
Wyspy Salomona,
Islandia,
Majotta,
Gwinea Równikowa,
Jersey,
Saint Vincent i Grenadyny,
Gambia,
Eswatini,
Guam,
Albania,
Cypr,
Dania,
Turkmenistan,
Mali,
Nikaragua,
Luksemburg,
Malta,
Litwa,
Haiti,
Kuba,
Słowacja,
Armenia,
Grecja,
Uganda,
Tunezja,
Łotwa,
Laos,
Bułgaria,
Angola,
Honduras,
Jemen,
Finlandia,
Mołdawia,
Portugalia,
Etiopia,
Ghana,
Kuwejt,
Macedonia Północna,
Estonia,
Irak,
Gwatemala,
Bośnia i Hercegowina,
Singapur,
Gruzja,
Bangladesz,
Australia,
Oman,
Azerbejdżan,
Izrael,
Republika Południowej Afryki,
Korea Południowa,
Boliwia,
Słowenia,
Salwador,
Algieria,
Sri Lanka,
Serbia,
Jordania,
Hongkong,
Maroko,
Urugwaj,
Malezja,
Turcja,
Zjednoczone Emiraty Arabskie,
Filipiny,
Tajwan,
Kolumbia,
Arabia Saudyjska,
Nigeria,
Ekwador,
Peru,
Kazachstan,
Japonia,
Meksyk,
Aruba,
Afganistan,
Anguilla,
Wyspy Alandzkie,
Andora,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Burundi,
Benin,
Burkina Faso,
Bahrajn,
Bahamy,
Saint-Barthélemy,
Belize,
Bermudy,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Dżibuti,
Dominika,
Dominikana,
Sahara Zachodnia,
Fidżi,
Wyspy Owcze,
Mikronezja,
Gabon,
Guernsey,
Gibraltar,
Gwinea,
Gwadelupa,
Gwinea Bissau,
Grenada,
Grenlandia,
Gujana Francuska,
Gujana,
Wyspy Heard i McDonalda,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Iran,
Jamajka,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Liban,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Lesotho,
Makau,
Saint-Martin,
Monako,
Madagaskar,
Malediwy,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malawi,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Niue,
Nepal,
Nauru,
Nowa Zelandia,
Panama,
Pitcairn,
Palau,
Papua-Nowa Gwinea,
Portoryko,
Korea Północna,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rwanda,
Sudan,
Senegal,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Sierra Leone,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Togo,
Tadżykistan,
Tokelau,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tuvalu,
Tanzania,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Uzbekistan,
Watykan,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Zambia,
Zimbabwe,
