Kategoria: Wszystko

Kraj,Transtornos do espectro autista: (Od 1.01.2004 do 13.10.2023)
Brazylia,100
Wyspa Bouveta,
Komory,
Saint-Pierre i Miquelon,
Wyspy Salomona,
Republika Środkowoafrykańska,
Gwinea Równikowa,
Gibraltar,
Malawi,
Sudan Południowy,
Liberia,
Gambia,
Aruba,
Kajmany,
Sierra Leone,
Botswana,
Somalia,
Rwanda,
Afganistan,
Libia,
Zambia,
Mongolia,
Palestyna,
Kosowo,
Czarnogóra,
Nikaragua,
Tanzania,
Jamajka,
Sudan,
Litwa,
Katar,
Łotwa,
Sri Lanka,
Portugalia,
Grecja,
Singapur,
Węgry,
Szwajcaria,
Irak,
Austria,
Szwecja,
Wietnam,
Kolumbia,
Australia,
Polska,
Meksyk,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Azerbejdżan,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Bermudy,
Boliwia,
Barbados,
Brunei,
Bhutan,
Kanada,
Wyspy Kokosowe,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Cypr,
Czechy,
Niemcy,
Dżibuti,
Dominika,
Dania,
Dominikana,
Algieria,
Ekwador,
Egipt,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Finlandia,
Fidżi,
Falklandy (Malwiny),
Francja,
Wyspy Owcze,
Mikronezja,
Gabon,
Wielka Brytania,
Gruzja,
Guernsey,
Ghana,
Gwinea,
Gwadelupa,
Gwinea Bissau,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Islandia,
Izrael,
Włochy,
Jersey,
Jordania,
Japonia,
Kazachstan,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Saint Lucia,
Liechtenstein,
Lesotho,
Luksemburg,
Makau,
Saint-Martin,
Maroko,
Monako,
Mołdawia,
Madagaskar,
Malediwy,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Niue,
Holandia,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Portoryko,
Korea Północna,
Paragwaj,
Polinezja Francuska,
Reunion,
Rumunia,
Rosja,
Arabia Saudyjska,
Senegal,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Salwador,
San Marino,
Serbia,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Słowenia,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Togo,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tajwan,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Stany Zjednoczone,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Vanuatu,
Wallis i Futuna,
Samoa,
Jemen,
Republika Południowej Afryki,
Zimbabwe,
