Kategoria: Wszystko

Kraj,autismo: (Od 1.01.2004 do 13.10.2023)
Portoryko,100
Nikaragua,82
Brazylia,80
Paragwaj,66
Panama,64
Kostaryka,63
Honduras,60
Dominikana,58
Chile,57
Kuba,
Boliwia,55
Meksyk,54
Ekwador,54
Argentyna,54
Wenezuela,52
Peru,52
Angola,50
Gwatemala,50
Włochy,47
Salwador,46
Urugwaj,45
Kolumbia,43
Hiszpania,42
Portugalia,40
Republika Zielonego Przylądka,
Mozambik,
Gwinea Równikowa,
Andora,
Aruba,
Gwinea Bissau,
Curaçao,
Wyspa Świętej Heleny,
Luksemburg,
Albania,
Szwajcaria,3
Stany Zjednoczone,2
Irlandia,
Trynidad i Tobago,
Kanada,1
Wielka Brytania,1
Belgia,
Niemcy,1
Szwecja,
Norwegia,
Grecja,
Maroko,
Holandia,
Zjednoczone Emiraty Arabskie,
Izrael,
Korea Południowa,
Australia,
Rumunia,
Austria,
Francja,<1
Palestyna,
Nowa Zelandia,
Chorwacja,
Dania,
Wietnam,
Japonia,
Filipiny,
Finlandia,
Singapur,
Egipt,
Czechy,
Irak,
Malezja,
Bangladesz,
Białoruś,
Rosja,
Republika Południowej Afryki,
Kazachstan,
Tajlandia,
Tajwan,
Pakistan,
Indie,
Nigeria,
Ukraina,
Polska,
Indonezja,
Arabia Saudyjska,
Turcja,
Iran,
Wyspa Bouveta,
Watykan,
Niue,
Nauru,
San Marino,
Wyspy Cooka,
Wyspy Świętego Tomasza i Książęca,
Falklandy (Malwiny),
Erytrea,
Niderlandy Karaibskie,
Belize,
Saint-Martin,
Gibraltar,
Monako,
Saint Kitts i Nevis,
Wyspy Salomona,
Gujana Francuska,
Vanuatu,
Turks i Caicos,
Kajmany,
Malta,
Seszele,
Bermudy,
Wyspy Dziewicze Stanów Zjednoczonych,
Timor Wschodni,
Antigua i Barbuda,
Grenlandia,
Jersey,
Polinezja Francuska,
Haiti,
Makau,
Islandia,
Surinam,
Barbados,
Burundi,
Bahamy,
Liechtenstein,
Namibia,
Kongo,
Cypr,
Malediwy,
Saint Vincent i Grenadyny,
Malawi,
Gujana,
Laos,
Kosowo,
Liban,
Martynika,
Guernsey,
Jamajka,
Mongolia,
Katar,
Mołdawia,
Mauretania,
Gabon,
Słowenia,
Senegal,
Mauritius,
Burkina Faso,
Czarnogóra,
Macedonia Północna,
Guam,
Gwadelupa,
Gruzja,
Zimbabwe,
Litwa,
Madagaskar,
Tadżykistan,
Togo,
Bułgaria,
Kambodża,
Algieria,
Armenia,
Estonia,
Kirgistan,
Afganistan,
Tunezja,
Ghana,
Nepal,
Serbia,
Etiopia,
Turkmenistan,
Mjanma (Birma),
Bośnia i Hercegowina,
Jemen,
Węgry,
Hongkong,
Libia,
Côte d’Ivoire,
Brunei,
Kuwejt,
Mali,
Słowacja,
Jordania,
Zambia,
Bahrajn,
Uganda,
Demokratyczna Republika Konga,
Azerbejdżan,
Kamerun,
Tanzania,
Łotwa,
Kenia,
Sri Lanka,
Sudan,
Uzbekistan,
Oman,
Syria,
Chiny,
Anguilla,
Wyspy Alandzkie,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Benin,
Saint-Barthélemy,
Bhutan,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Komory,
Wyspa Bożego Narodzenia,
Dżibuti,
Dominika,
Sahara Zachodnia,
Fidżi,
Wyspy Owcze,
Mikronezja,
Gwinea,
Gambia,
Grenada,
Wyspy Heard i McDonalda,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Kiribati,
Liberia,
Saint Lucia,
Lesotho,
Wyspy Marshalla,
Mariany Północne,
Montserrat,
Majotta,
Nowa Kaledonia,
Niger,
Norfolk,
Pitcairn,
Palau,
Papua-Nowa Gwinea,
Korea Północna,
Reunion,
Rwanda,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Sierra Leone,
Somalia,
Saint-Pierre i Miquelon,
Sudan Południowy,
Eswatini,
Sint Maarten,
Czad,
Tokelau,
Tonga,
Tuvalu,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Brytyjskie Wyspy Dziewicze,
Wallis i Futuna,
Samoa,
