Kategoria: Wszystko

Kraj,Расстройство аутистического спектра: (Od 1.01.2004 do 13.10.2023)
Rosja,100
Kazachstan,95
Białoruś,93
Ukraina,40
Wyspy Heard i McDonalda,
Kiribati,
Wyspy Świętego Tomasza i Książęca,
Republika Środkowoafrykańska,
Mikronezja,
Sahara Zachodnia,
Saint Kitts i Nevis,
Dominika,
Grenlandia,
Bhutan,
Gibraltar,
Dżibuti,
Kajmany,
Curaçao,
Sierra Leone,
Niger,
Guam,
Nowa Kaledonia,
Martynika,
Uzbekistan,
Madagaskar,
Tadżykistan,
Łotwa,
Gruzja,
Afganistan,
Mołdawia,
Estonia,
Kirgistan,
Macedonia Północna,
Czarnogóra,
Armenia,
Azerbejdżan,
Cypr,
Liban,
Trynidad i Tobago,
Libia,
Kuwejt,
Litwa,
Syria,
Finlandia,
Słowenia,
Izrael,
Belgia,
Irak,
Zjednoczone Emiraty Arabskie,
Dominikana,
Bułgaria,
Czechy,
Rumunia,
Algieria,
Węgry,
Korea Południowa,
Polska,
Grecja,
Holandia,
Niemcy,
Szwecja,
Egipt,
Tajlandia,
Kolumbia,
Francja,
Turcja,
Indie,
Wielka Brytania,
Brazylia,
Stany Zjednoczone,
Aruba,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Argentyna,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Austria,
Burundi,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Belize,
Bermudy,
Boliwia,
Barbados,
Brunei,
Wyspa Bouveta,
Botswana,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Wyspa Bożego Narodzenia,
Dania,
Ekwador,
Erytrea,
Hiszpania,
Etiopia,
Fidżi,
Falklandy (Malwiny),
Wyspy Owcze,
Gabon,
Guernsey,
Ghana,
Gwinea,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grenada,
Gwatemala,
Gujana Francuska,
Gujana,
Hongkong,
Honduras,
Chorwacja,
Haiti,
Indonezja,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Islandia,
Włochy,
Jamajka,
Jersey,
Jordania,
Japonia,
Kenia,
Kambodża,
Laos,
Liberia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luksemburg,
Makau,
Saint-Martin,
Maroko,
Monako,
Malediwy,
Meksyk,
Wyspy Marshalla,
Mali,
Malta,
Mjanma (Birma),
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rwanda,
Arabia Saudyjska,
Sudan,
Senegal,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Wyspy Salomona,
Salwador,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Surinam,
Słowacja,
Eswatini,
Sint Maarten,
Seszele,
Turks i Caicos,
Czad,
Togo,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Tunezja,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
Zimbabwe,
