Kategoria: Wszystko

Kraj,аутизм: (Od 1.01.2004 do 13.10.2023)
Kazachstan,100
Kirgistan,81
Białoruś,80
Rosja,75
Tadżykistan,69
Ukraina,66
Turkmenistan,66
Uzbekistan,53
Mołdawia,46
Mongolia,44
Armenia,38
Łotwa,28
Azerbejdżan,27
Estonia,22
Gruzja,19
Izrael,7
Litwa,6
Cypr,
Bułgaria,3
Czechy,2
Macedonia Północna,
Wyspa Świętej Heleny,
Niemcy,1
Finlandia,1
Polska,1
Zjednoczone Emiraty Arabskie,
Grecja,1
Austria,1
Szwecja,1
Norwegia,
Irlandia,
Korea Południowa,1
Szwajcaria,1
Belgia,1
Słowacja,
Portugalia,
Holandia,1
Turcja,<1
Włochy,<1
Serbia,
Kanada,<1
Hiszpania,<1
Wielka Brytania,<1
Węgry,
Francja,<1
Kuwejt,
Rumunia,
Stany Zjednoczone,<1
Chiny,
Tajlandia,
Australia,
Wietnam,
Indonezja,
Japonia,
Indie,
Wyspy Heard i McDonalda,
Falklandy (Malwiny),
Kiribati,
Vanuatu,
Samoa,
Grenada,
Dżibuti,
Gwinea Bissau,
San Marino,
Czarnogóra,
Saint Lucia,
Sint Maarten,
Sahara Zachodnia,
Eswatini,
Malediwy,
Liechtenstein,
Kajmany,
Gambia,
Malta,
Curaçao,
Papua-Nowa Gwinea,
Luksemburg,
Palestyna,
Mozambik,
Jersey,
Islandia,
Mauritius,
Kamerun,
Kosowo,
Rwanda,
Jamajka,
Gwadelupa,
Kenia,
Liban,
Katar,
Dania,
Martynika,
Słowenia,
Albania,
Jordania,
Bahrajn,
Chorwacja,
Honduras,
Oman,
Egipt,
Nowa Zelandia,
Demokratyczna Republika Konga,
Laos,
Singapur,
Côte d’Ivoire,
Kambodża,
Bośnia i Hercegowina,
Nepal,
Syria,
Mjanma (Birma),
Tunezja,
Dominikana,
Gwatemala,
Maroko,
Irak,
Hongkong,
Malezja,
Ekwador,
Republika Południowej Afryki,
Arabia Saudyjska,
Pakistan,
Argentyna,
Algieria,
Filipiny,
Bangladesz,
Tajwan,
Iran,
Chile,
Meksyk,
Nigeria,
Wenezuela,
Brazylia,
Kolumbia,
Peru,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Andora,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Burundi,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bahamy,
Saint-Barthélemy,
Belize,
Bermudy,
Boliwia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Kongo,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Wyspa Bożego Narodzenia,
Dominika,
Erytrea,
Etiopia,
Fidżi,
Wyspy Owcze,
Mikronezja,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gwinea Równikowa,
Grenlandia,
Gujana Francuska,
Guam,
Gujana,
Haiti,
Wyspa Man,
Brytyjskie Terytorium Oceanu Indyjskiego,
Saint Kitts i Nevis,
Liberia,
Libia,
Sri Lanka,
Lesotho,
Makau,
Saint-Martin,
Monako,
Madagaskar,
Wyspy Marshalla,
Mali,
Mariany Północne,
Mauretania,
Montserrat,
Malawi,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nikaragua,
Niue,
Nauru,
Panama,
Pitcairn,
Palau,
Portoryko,
Korea Północna,
Paragwaj,
Polinezja Francuska,
Reunion,
Sudan,
Senegal,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
Salwador,
Somalia,
Saint-Pierre i Miquelon,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Seszele,
Turks i Caicos,
Czad,
Togo,
Tokelau,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tuvalu,
Tanzania,
Uganda,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Watykan,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wallis i Futuna,
Jemen,
Zambia,
Zimbabwe,
