Kategoria: Wszystko

Kraj,Porucha autistického spektra: (Od 1.01.2004 do 13.10.2023)
Czechy,100
Wyspa Bożego Narodzenia,
Svalbard i Jan Mayen,
Mikronezja,
Wyspy Salomona,
Dżibuti,
Gibraltar,
Turks i Caicos,
Brytyjskie Wyspy Dziewicze,
Mariany Północne,
Guam,
Timor Wschodni,
Sierra Leone,
Gwinea,
Bermudy,
Fidżi,
Papua-Nowa Gwinea,
Gabon,
Kuba,
Senegal,
Słowacja,
Burkina Faso,
Wyspa Świętej Heleny,
Islandia,
Mozambik,
Łotwa,
Kambodża,
Nepal,
Trynidad i Tobago,
Armenia,
Kostaryka,
Azerbejdżan,
Republika Południowej Afryki,
Norwegia,
Austria,
Rumunia,
Węgry,
Szwecja,
Egipt,
Hiszpania,
Niemcy,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Curaçao,
Kajmany,
Cypr,
Dominika,
Dania,
Dominikana,
Algieria,
Ekwador,
Erytrea,
Sahara Zachodnia,
Estonia,
Etiopia,
Finlandia,
Falklandy (Malwiny),
Francja,
Wyspy Owcze,
Wielka Brytania,
Gruzja,
Guernsey,
Ghana,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Izrael,
Włochy,
Jamajka,
Jersey,
Jordania,
Japonia,
Kazachstan,
Kenia,
Kirgistan,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Luksemburg,
Makau,
Saint-Martin,
Maroko,
Monako,
Mołdawia,
Madagaskar,
Malediwy,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Holandia,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Polska,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rosja,
Rwanda,
Arabia Saudyjska,
Sudan,
Singapur,
Georgia Południowa i Sandwich Południowy,
Salwador,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowenia,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Czad,
Togo,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Tonga,
Tunezja,
Turcja,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Stany Zjednoczone,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Zambia,
Zimbabwe,
