Kategoria: Wszystko

Kraj,Trastornos del espectro autista: (Od 1.01.2004 do 13.10.2023)
Chile,100
Hiszpania,58
Argentyna,54
Peru,48
Meksyk,44
Kolumbia,38
Brytyjskie Terytorium Oceanu Indyjskiego,
Falklandy (Malwiny),
Palau,
Samoa Amerykańskie,
Saint-Barthélemy,
Sahara Zachodnia,
Dominika,
Wyspy Alandzkie,
Antigua i Barbuda,
Timor Wschodni,
Burundi,
Gambia,
Gibraltar,
Botswana,
Bermudy,
Jersey,
Kuba,
Lesotho,
Curaçao,
Dominikana,
Urugwaj,
Togo,
Polinezja Francuska,
Panama,
Ekwador,
Mauretania,
Kostaryka,
Paragwaj,
Haiti,
Fidżi,
Portoryko,
Wenezuela,
Mongolia,
Honduras,
Boliwia,
Gwatemala,
Zimbabwe,
Nikaragua,
Salwador,
Bahamy,
Wyspa Świętej Heleny,
Mołdawia,
Sudan,
Jamajka,
Senegal,
Oman,
Sri Lanka,
Jordania,
Bośnia i Hercegowina,
Kuwejt,
Algieria,
Maroko,
Białoruś,
Litwa,
Chiny,
Pakistan,
Szwajcaria,
Wietnam,
Węgry,
Iran,
Tajwan,
Stany Zjednoczone,
Ukraina,
Wielka Brytania,
Rosja,
Włochy,
Brazylia,
Kanada,
Japonia,
Francja,
Niemcy,
Aruba,
Afganistan,
Angola,
Anguilla,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Armenia,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Australia,
Austria,
Azerbejdżan,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bułgaria,
Bahrajn,
Belize,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Komory,
Republika Zielonego Przylądka,
Wyspa Bożego Narodzenia,
Kajmany,
Cypr,
Czechy,
Dżibuti,
Dania,
Egipt,
Erytrea,
Estonia,
Etiopia,
Finlandia,
Wyspy Owcze,
Mikronezja,
Gabon,
Gruzja,
Guernsey,
Ghana,
Gwinea,
Gwadelupa,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gujana Francuska,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Chorwacja,
Indonezja,
Wyspa Man,
Indie,
Irlandia,
Irak,
Islandia,
Izrael,
Kazachstan,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Laos,
Liban,
Liberia,
Libia,
Saint Lucia,
Liechtenstein,
Luksemburg,
Łotwa,
Makau,
Saint-Martin,
Monako,
Madagaskar,
Malediwy,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mariany Północne,
Mozambik,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Niue,
Holandia,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Pitcairn,
Filipiny,
Papua-Nowa Gwinea,
Polska,
Korea Północna,
Portugalia,
Palestyna,
Katar,
Reunion,
Rumunia,
Rwanda,
Arabia Saudyjska,
Singapur,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Wyspy Salomona,
Sierra Leone,
San Marino,
Somalia,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Słowenia,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Czad,
Tajlandia,
Tadżykistan,
Tokelau,
Turkmenistan,
Tonga,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tanzania,
Uganda,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
