Kategoria: Wszystko

Kraj,Usonji: (Od 1.01.2004 do 13.10.2023)
Tanzania,100
Kenia,3
Wyspa Bożego Narodzenia,
Tuvalu,
Falklandy (Malwiny),
Brytyjskie Wyspy Dziewicze,
Czad,
Saint-Martin,
Wyspy Salomona,
Saint Vincent i Grenadyny,
Liechtenstein,
Wyspy Alandzkie,
San Marino,
Bhutan,
Gwinea,
Rwanda,
Barbados,
Bahamy,
Burkina Faso,
Jemen,
Mozambik,
Jamajka,
Luksemburg,
Salwador,
Libia,
Ghana,
Trynidad i Tobago,
Etiopia,
Gruzja,
Słowenia,
Maroko,
Wenezuela,
Irak,
Białoruś,
Serbia,
Szwajcaria,
Republika Południowej Afryki,
Austria,
Chile,
Tajlandia,
Stany Zjednoczone,
Aruba,
Afganistan,
Angola,
Anguilla,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Azerbejdżan,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Bangladesz,
Bułgaria,
Bahrajn,
Bośnia i Hercegowina,
Saint-Barthélemy,
Belize,
Bermudy,
Boliwia,
Brazylia,
Brunei,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Kajmany,
Cypr,
Czechy,
Niemcy,
Dżibuti,
Dominika,
Dania,
Dominikana,
Algieria,
Ekwador,
Egipt,
Erytrea,
Sahara Zachodnia,
Hiszpania,
Estonia,
Finlandia,
Fidżi,
Francja,
Wyspy Owcze,
Mikronezja,
Gabon,
Wielka Brytania,
Guernsey,
Gibraltar,
Gwadelupa,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Węgry,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Islandia,
Izrael,
Włochy,
Jersey,
Jordania,
Japonia,
Kazachstan,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Liberia,
Saint Lucia,
Sri Lanka,
Lesotho,
Litwa,
Łotwa,
Makau,
Monako,
Mołdawia,
Madagaskar,
Malediwy,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Holandia,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Polska,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rumunia,
Rosja,
Arabia Saudyjska,
Sudan,
Senegal,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Sierra Leone,
Somalia,
Saint-Pierre i Miquelon,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowacja,
Szwecja,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Turks i Caicos,
Togo,
Tadżykistan,
Tokelau,
Turkmenistan,
Timor Wschodni,
Tonga,
Tunezja,
Turcja,
Tajwan,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Kosowo,
Zambia,
Zimbabwe,
