Kategoria: Wszystko

Kraj,Otizm spektrum bozukluğu: (Od 1.01.2004 do 13.10.2023)
Cypr,100
Turcja,85
Wyspa Bouveta,
Montserrat,
Monako,
Turks i Caicos,
Saint-Martin,
Wyspy Salomona,
San Marino,
Grenlandia,
Sahara Zachodnia,
Bermudy,
Gujana Francuska,
Liechtenstein,
Fidżi,
Barbados,
Burkina Faso,
Surinam,
Somalia,
Azerbejdżan,
Botswana,
Zambia,
Turkmenistan,
Makau,
Luksemburg,
Gwadelupa,
Demokratyczna Republika Konga,
Sudan,
Wyspa Świętej Heleny,
Kosowo,
Etiopia,
Zimbabwe,
Sri Lanka,
Côte d’Ivoire,
Portoryko,
Mołdawia,
Gruzja,
Bośnia i Hercegowina,
Chorwacja,
Szwecja,
Grecja,
Rumunia,
Zjednoczone Emiraty Arabskie,
Holandia,
Niemcy,
Belgia,
Pakistan,
Wielka Brytania,
Indonezja,
Francja,
Rosja,
Stany Zjednoczone,
Aruba,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Austria,
Burundi,
Benin,
Niderlandy Karaibskie,
Bangladesz,
Bułgaria,
Bahrajn,
Bahamy,
Saint-Barthélemy,
Białoruś,
Belize,
Boliwia,
Brazylia,
Brunei,
Bhutan,
Republika Środkowoafrykańska,
Kanada,
Wyspy Kokosowe,
Szwajcaria,
Chile,
Chiny,
Kamerun,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Republika Zielonego Przylądka,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Czechy,
Dżibuti,
Dominika,
Dania,
Dominikana,
Algieria,
Ekwador,
Egipt,
Erytrea,
Hiszpania,
Estonia,
Finlandia,
Falklandy (Malwiny),
Wyspy Owcze,
Mikronezja,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Gwinea,
Gambia,
Gwinea Bissau,
Gwinea Równikowa,
Grenada,
Gwatemala,
Guam,
Gujana,
Hongkong,
Wyspy Heard i McDonalda,
Honduras,
Haiti,
Węgry,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Islandia,
Izrael,
Włochy,
Jamajka,
Jersey,
Jordania,
Japonia,
Kazachstan,
Kenia,
Kirgistan,
Kambodża,
Kiribati,
Saint Kitts i Nevis,
Korea Południowa,
Kuwejt,
Laos,
Liban,
Liberia,
Libia,
Saint Lucia,
Lesotho,
Litwa,
Łotwa,
Maroko,
Madagaskar,
Malediwy,
Meksyk,
Wyspy Marshalla,
Macedonia Północna,
Mali,
Malta,
Mjanma (Birma),
Czarnogóra,
Mongolia,
Mariany Północne,
Mozambik,
Mauretania,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Namibia,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Nikaragua,
Niue,
Norwegia,
Nepal,
Nauru,
Nowa Zelandia,
Oman,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Polska,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rwanda,
Arabia Saudyjska,
Senegal,
Singapur,
Georgia Południowa i Sandwich Południowy,
Svalbard i Jan Mayen,
Sierra Leone,
Salwador,
Saint-Pierre i Miquelon,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Słowacja,
Słowenia,
Eswatini,
Sint Maarten,
Seszele,
Syria,
Czad,
Togo,
Tajlandia,
Tadżykistan,
Tokelau,
Timor Wschodni,
Tonga,
Trynidad i Tobago,
Tunezja,
Tuvalu,
Tajwan,
Tanzania,
Uganda,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Uzbekistan,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Wietnam,
Vanuatu,
Wallis i Futuna,
Samoa,
Jemen,
Republika Południowej Afryki,
