Kategoria: Wszystko

Kraj,Rối loạn phổ tự kỷ: (Od 1.01.2004 do 13.10.2023)
Wietnam,100
Wallis i Futuna,
Kiribati,
Erytrea,
Mikronezja,
Wyspy Salomona,
Saint-Pierre i Miquelon,
Sint Maarten,
San Marino,
Gwinea Bissau,
Dżibuti,
Wyspy Owcze,
Timor Wschodni,
Gibraltar,
Republika Zielonego Przylądka,
Aruba,
Gwinea,
Namibia,
Malta,
Bahrajn,
Libia,
Uganda,
Mongolia,
Sudan,
Macedonia Północna,
Kirgistan,
Czarnogóra,
Nikaragua,
Cypr,
Jordania,
Słowacja,
Uzbekistan,
Hongkong,
Dominikana,
Bułgaria,
Algieria,
Szwajcaria,
Nowa Zelandia,
Korea Południowa,
Węgry,
Chile,
Kanada,
Tajlandia,
Francja,
Japonia,
Wielka Brytania,
Stany Zjednoczone,
Afganistan,
Angola,
Anguilla,
Wyspy Alandzkie,
Albania,
Andora,
Zjednoczone Emiraty Arabskie,
Argentyna,
Armenia,
Samoa Amerykańskie,
Antarktyda,
Francuskie Terytoria Południowe i Antarktyczne,
Antigua i Barbuda,
Australia,
Austria,
Azerbejdżan,
Burundi,
Belgia,
Benin,
Niderlandy Karaibskie,
Burkina Faso,
Bangladesz,
Bahamy,
Bośnia i Hercegowina,
Saint-Barthélemy,
Białoruś,
Belize,
Bermudy,
Boliwia,
Brazylia,
Barbados,
Brunei,
Bhutan,
Wyspa Bouveta,
Botswana,
Republika Środkowoafrykańska,
Wyspy Kokosowe,
Chiny,
Côte d’Ivoire,
Kamerun,
Demokratyczna Republika Konga,
Kongo,
Wyspy Cooka,
Kolumbia,
Komory,
Kostaryka,
Kuba,
Curaçao,
Wyspa Bożego Narodzenia,
Kajmany,
Czechy,
Niemcy,
Dominika,
Dania,
Ekwador,
Egipt,
Sahara Zachodnia,
Hiszpania,
Estonia,
Etiopia,
Finlandia,
Fidżi,
Falklandy (Malwiny),
Gabon,
Gruzja,
Guernsey,
Ghana,
Gwadelupa,
Gambia,
Gwinea Równikowa,
Grecja,
Grenada,
Grenlandia,
Gwatemala,
Gujana Francuska,
Guam,
Gujana,
Wyspy Heard i McDonalda,
Honduras,
Chorwacja,
Haiti,
Indonezja,
Wyspa Man,
Indie,
Brytyjskie Terytorium Oceanu Indyjskiego,
Irlandia,
Iran,
Irak,
Islandia,
Izrael,
Włochy,
Jamajka,
Jersey,
Kazachstan,
Kenia,
Kambodża,
Saint Kitts i Nevis,
Kuwejt,
Laos,
Liban,
Liberia,
Saint Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Litwa,
Luksemburg,
Łotwa,
Makau,
Saint-Martin,
Maroko,
Monako,
Mołdawia,
Madagaskar,
Malediwy,
Meksyk,
Wyspy Marshalla,
Mali,
Mjanma (Birma),
Mariany Północne,
Mozambik,
Mauretania,
Montserrat,
Martynika,
Mauritius,
Malawi,
Malezja,
Majotta,
Nowa Kaledonia,
Niger,
Norfolk,
Nigeria,
Niue,
Holandia,
Norwegia,
Nepal,
Nauru,
Oman,
Pakistan,
Panama,
Pitcairn,
Peru,
Filipiny,
Palau,
Papua-Nowa Gwinea,
Polska,
Portoryko,
Korea Północna,
Portugalia,
Paragwaj,
Palestyna,
Polinezja Francuska,
Katar,
Reunion,
Rumunia,
Rosja,
Rwanda,
Arabia Saudyjska,
Senegal,
Singapur,
Georgia Południowa i Sandwich Południowy,
Wyspa Świętej Heleny,
Svalbard i Jan Mayen,
Sierra Leone,
Salwador,
Somalia,
Serbia,
Sudan Południowy,
Wyspy Świętego Tomasza i Książęca,
Surinam,
Słowenia,
Szwecja,
Eswatini,
Seszele,
Syria,
Turks i Caicos,
Czad,
Togo,
Tadżykistan,
Tokelau,
Turkmenistan,
Tonga,
Trynidad i Tobago,
Tunezja,
Turcja,
Tuvalu,
Tajwan,
Tanzania,
Ukraina,
Dalekie Wyspy Mniejsze Stanów Zjednoczonych,
Urugwaj,
Watykan,
Saint Vincent i Grenadyny,
Wenezuela,
Brytyjskie Wyspy Dziewicze,
Wyspy Dziewicze Stanów Zjednoczonych,
Vanuatu,
Samoa,
Kosowo,
Jemen,
Republika Południowej Afryki,
Zambia,
Zimbabwe,
